user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
"weird_al"_yankovic	0	(4053)	3	(397)	0	(3225)	2	(97)	0.00	(1880)	0.00003	(4055)
coolio	1	(1767)	1	(1922)	0	(3225)	1	(663)	0.50	(1868)	0.00004	(3961)
lady_gaga	8	(97)	5	(134)	1	(528)	2	(97)	69838.27	(83)	0.00020	(1736)
michael_jackson	19	(11)	15	(6)	2	(82)	2	(97)	297067.87	(7)	0.00097	(91)
14th_dalai_lama	1	(1767)	1	(1922)	1	(528)	1	(663)	0.00	(1880)	0.00029	(937)
thubten_gyatso,_13th_dalai_lama	1	(1767)	1	(1922)	1	(528)	1	(663)	0.00	(1880)	0.00029	(937)
50_cent	10	(59)	5	(134)	2	(82)	2	(97)	200991.40	(16)	0.00096	(95)
dr._dre	14	(22)	6	(90)	2	(82)	2	(97)	171263.12	(21)	0.00152	(30)
eminem	13	(28)	6	(90)	2	(82)	2	(97)	143006.76	(31)	0.00107	(71)
jay-z	14	(22)	4	(222)	2	(82)	2	(97)	228976.32	(11)	0.00088	(110)
lloyd_banks	2	(885)	3	(397)	2	(82)	2	(97)	1323.47	(769)	0.00036	(692)
young_buck	1	(1767)	2	(810)	1	(528)	1	(663)	472.53	(936)	0.00020	(1686)
a._j._mclean	1	(1767)	1	(1922)	1	(528)	1	(663)	0.00	(1880)	0.00054	(332)
backstreet_boys	3	(503)	1	(1922)	1	(528)	1	(663)	2.00	(1600)	0.00057	(298)
a._p._j._abdul_kalam	1	(1767)	1	(1922)	1	(528)	1	(663)	0.00	(1880)	0.00029	(937)
pratibha_patil	1	(1767)	1	(1922)	1	(528)	1	(663)	0.00	(1880)	0.00029	(937)
aage_bohr	3	(503)	2	(810)	1	(528)	2	(97)	2126.00	(629)	0.00039	(613)
james_rainwater	2	(885)	2	(810)	1	(528)	2	(97)	60.00	(1047)	0.00027	(1411)
niels_bohr	6	(170)	4	(222)	1	(528)	2	(97)	20799.70	(213)	0.00075	(142)
aaliyah	2	(885)	5	(134)	2	(82)	2	(97)	10486.20	(324)	0.00028	(1380)
gladys_knight	1	(1767)	0	(4760)	1	(528)	0	(4033)	0.00	(1880)	0.00008	(2767)
jet_li	1	(1767)	0	(4760)	1	(528)	0	(4033)	0.00	(1880)	0.00008	(2767)
missy_elliott	6	(170)	2	(810)	2	(82)	1	(663)	4466.39	(488)	0.00038	(661)
r._kelly	5	(230)	5	(134)	2	(82)	2	(97)	156585.04	(25)	0.00043	(459)
timbaland	12	(37)	6	(90)	2	(82)	2	(97)	55488.38	(107)	0.00116	(61)
aaron_burr	2	(885)	2	(810)	2	(82)	1	(663)	988.00	(903)	0.00058	(279)
alexander_hamilton	5	(230)	1	(1922)	2	(82)	1	(663)	5.50	(1433)	0.00052	(354)
thomas_jefferson_rusk	5	(230)	5	(134)	2	(82)	2	(97)	6663.47	(413)	0.00045	(444)
aaron_carter	0	(4053)	1	(1922)	0	(3225)	1	(663)	0.00	(1880)	0.00003	(4408)
aaron_ciechanover	2	(885)	2	(810)	2	(82)	2	(97)	0.00	(1880)	0.00029	(891)
avram_hershko	2	(885)	2	(810)	2	(82)	2	(97)	0.00	(1880)	0.00029	(891)
irwin_rose	2	(885)	2	(810)	2	(82)	2	(97)	0.00	(1880)	0.00029	(891)
aaron_copland	1	(1767)	1	(1922)	1	(528)	1	(663)	0.00	(1880)	0.00005	(3685)
nadia_boulanger	5	(230)	7	(68)	1	(528)	1	(663)	60972.16	(95)	0.00017	(1887)
aaron_johnson_(actor)	0	(4053)	1	(1922)	0	(3225)	1	(663)	0.00	(1880)	0.00003	(4408)
john_lennon	19	(11)	8	(49)	3	(46)	3	(34)	36483.65	(144)	0.00120	(57)
