Viktor_Chernomyrdin	Yegor_Gaidar
Robert_Capa	Leon_Trótski
Steve_Irwin	Steve_Irwin
Syd_Barrett	David_Gilmour
Bonnie_Wright	Shia_LaBeouf
Bonnie_Wright	Zac_Efron
Bonnie_Wright	Daniel_Radcliffe
Bonnie_Wright	Emma_Watson
Bonnie_Wright	Rupert_Grint
Miley_Cyrus	Beyoncé_Knowles
Miley_Cyrus	Britney_Spears
Miley_Cyrus	Céline_Dion
Miley_Cyrus	Timbaland
Miley_Cyrus	Janet_Jackson
Miley_Cyrus	Tim_Burton
Miley_Cyrus	Jamie_Foxx
Miley_Cyrus	Lionel_Richie
Miley_Cyrus	Lady_Gaga
Miley_Cyrus	Emily_Osment
Miley_Cyrus	Selena_Gomez
Miley_Cyrus	Pink
Miley_Cyrus	Demi_Lovato
Miley_Cyrus	Isabel_II_do_Reino_Unido
Miley_Cyrus	Justin_Bieber
Miley_Cyrus	Will.i.am
Miley_Cyrus	Michael_Jackson
Miley_Cyrus	Carrie_Underwood
Miley_Cyrus	John_Travolta
Tycho_Brahe	Frederico_II_da_Dinamarca_e_Noruega
Tycho_Brahe	Papa_Gregório_XIII
Tycho_Brahe	Nicolau_Copérnico
Tycho_Brahe	Johannes_Kepler
Tycho_Brahe	Aristóteles
Demi_Lovato	Kelly_Clarkson
Demi_Lovato	Timbaland
Demi_Lovato	John_Mayer
Demi_Lovato	Christina_Aguilera
Demi_Lovato	Selena_Gomez
Demi_Lovato	Ellen_DeGeneres
Demi_Lovato	Miley_Cyrus
Demi_Lovato	Taio_Cruz
Demi_Lovato	Rihanna
Benjamin_Disraeli	William_Ewart_Gladstone
Papa_Leão_III	Carlos_Magno
Carl_von_Clausewitz	Napoleão_Bonaparte
Carl_von_Clausewitz	Sun_Tzu
Carl_von_Clausewitz	Immanuel_Kant
Benito_Mussolini	Benito_Juárez
Benito_Mussolini	Friedrich_Nietzsche
Benito_Mussolini	Adolf_Hitler
Benito_Mussolini	Vítor_Emanuel_III_da_Itália
Benito_Mussolini	Adolf_Hitler
Benito_Mussolini	Otto_Skorzeny
Alberto_Aquilani	Javier_Mascherano
Alberto_Aquilani	Xabi_Alonso
Alberto_Aquilani	Fabio_Capello
J._M._Coetzee	Nadine_Gordimer
J._M._Coetzee	Elfriede_Jelinek
J._M._Coetzee	Imre_Kertész
J._M._Coetzee	Samuel_Beckett
Aage_Niels_Bohr	Murray_Gell-Mann
Aage_Niels_Bohr	Aage_Niels_Bohr
Aage_Niels_Bohr	Ben_Roy_Mottelson
Aage_Niels_Bohr	Ben_Roy_Mottelson
Aage_Niels_Bohr	Antony_Hewish
Aage_Niels_Bohr	Niels_Bohr
John_Donne	William_Shakespeare
John_Donne	Samuel_Taylor_Coleridge
John_Donne	Walter_Raleigh
John_Donne	T._S._Eliot
John_Donne	Ben_Jonson
John_Donne	Jaime_I_de_Inglaterra
John_Donne	Ernest_Hemingway
John_Donne	Thomas_More
Karlheinz_Stockhausen	Frank_Zappa
Karlheinz_Stockhausen	Ígor_Stravinski
Karlheinz_Stockhausen	Charles_Mingus
Karlheinz_Stockhausen	Miles_Davis
Karlheinz_Stockhausen	Thom_Yorke
Karlheinz_Stockhausen	Björk
Karlheinz_Stockhausen	Pierre_Boulez
Karlheinz_Stockhausen	Olivier_Messiaen
Colin_Powell	Condoleezza_Rice
Colin_Powell	Ronald_Reagan
Colin_Powell	Madeleine_Albright
Colin_Powell	George_W._Bush
Daniel_Radcliffe	J._K._Rowling
Daniel_Radcliffe	Rupert_Grint
Daniel_Radcliffe	Emma_Watson
Charles_de_Montesquieu	John_Locke
Charles_de_Montesquieu	Thomas_Hobbes
