node	degree	degree_ranking	k	k_ranking	betweeness	betweeness_ranking	closeness	closeness_ranking	
Germany	84	7	25	1	498.46	9	0.6542750929	7
USA	139	1	25	1	4119.55	1	0.8262910798	1
China	100	2	25	1	1443.71	2	0.6984126984	2
Afghanistan	8	97	8	94	1.76	98	0.4875346260	92
Russia	82	8	25	1	357.24	11	0.6518518519	8
Turkey	88	5	25	1	960.60	5	0.6641509434	5
Belgium	51	20	25	1	143.11	19	0.5827814570	20
Albania	24	63	22	55	17.52	57	0.5207100592	67
Bosnia_and_Herzegovina	32	47	24	44	20.47	52	0.5398773006	50
Croatia	37	40	25	1	13.43	63	0.5552050473	36
Greece	54	17	25	1	59.79	33	0.5866666667	18
Italy	85	6	25	1	687.88	7	0.6591760300	6
Macedonia	28	56	24	44	6.13	78	0.5333333333	56
Montenegro	23	66	22	55	3.28	86	0.5222551929	65
Romania	59	12	25	1	70.21	28	0.5986394558	12
Spain	78	9	25	1	519.39	8	0.6400000000	9
Ukraine	61	10	25	1	117.57	21	0.6006825939	11
Bulgaria	50	21	25	1	43.68	39	0.5808580858	21
Algeria	26	58	20	61	18.18	56	0.5317220544	58
Egypt	38	36	25	1	41.82	40	0.5569620253	33
France	94	3	25	1	967.91	4	0.6821705426	3
Jordan	34	45	20	61	239.44	14	0.5382262997	52
Lebanon	32	47	21	59	30.73	44	0.5365853659	53
Morocco	29	53	20	61	27.26	47	0.5398773006	50
Senegal	13	83	10	88	9.46	68	0.4902506964	87
Serbia	38	36	25	1	56.36	35	0.5465838509	43
South_Africa	33	46	23	49	46.19	37	0.5448916409	44
The_Netherlands	58	13	25	1	142.07	20	0.5925925926	14
UK	89	4	25	1	1358.66	3	0.6692015209	4
United_Arab_Emirates	23	66	20	61	32.79	41	0.5238095238	63
American_Samoa	4	125	4	123	0.00	135	0.4571428571	134
Andorra	3	140	3	140	0.00	135	0.4220623501	157
Switzerland	37	40	25	1	61.00	32	0.5552050473	36
Brazil	61	10	25	1	341.86	12	0.6027397260	10
Angola	5	115	4	123	16.69	59	0.4769647696	108
Portugal	43	29	25	1	370.15	10	0.5623003195	30
Cameroon	7	103	6	106	19.26	53	0.4743935310	112
Antigua_and_Barbuda	2	149	2	148	0.75	104	0.4045977011	166
Argentina	46	25	25	1	69.43	29	0.5695792880	26
Bolivia	16	76	14	78	3.09	88	0.5086705202	75
Canada	58	13	25	1	206.01	15	0.5945945946	13
