user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
arsène_wenger	11	(211)	7	(246)	1	(1670)	1	(2625)	44214.44	(786)	0.00017	(1513)
aaron_spelling	3	(1334)	1	(4428)	1	(1670)	1	(2625)	5956.00	(2155)	0.00039	(381)
tori_spelling	1	(3700)	1	(4428)	1	(1670)	1	(2625)	0.00	(4103)	0.00036	(427)
abbey_lincoln	1	(3700)	1	(4428)	1	(1670)	1	(2625)	0.00	(4103)	0.00005	(4636)
max_roach	10	(240)	11	(78)	3	(99)	3	(73)	29435.38	(1026)	0.00045	(285)
abd_al-karim_qasim	1	(3700)	1	(4428)	1	(1670)	1	(2625)	0.00	(4103)	0.00017	(1511)
saddam_hussein	19	(51)	2	(2262)	2	(265)	2	(422)	112719.87	(358)	0.00098	(47)
abdel_aziz_al-rantissi	0	(7139)	1	(4428)	0	(6170)	0	(8123)	0.00	(4103)	0.00002	(7209)
ahmed_yassin	3	(1334)	0	(8906)	1	(1670)	0	(8123)	0.00	(4103)	0.00007	(4090)
abdelaziz_belkhadem	0	(7139)	1	(4428)	0	(6170)	1	(2625)	0.00	(4103)	0.00002	(7209)
ahmed_ouyahia	1	(3700)	1	(4428)	0	(6170)	1	(2625)	4.00	(3648)	0.00003	(5930)
abdelaziz_bouteflika	1	(3700)	3	(1233)	0	(6170)	1	(2625)	6.00	(3558)	0.00004	(5217)
ahmed_ben_bella	3	(1334)	1	(4428)	1	(1670)	1	(2625)	1.00	(3901)	0.00032	(538)
houari_boumediène	2	(2064)	1	(4428)	1	(1670)	1	(2625)	0.00	(4103)	0.00031	(561)
liamine_zéroual	1	(3700)	0	(8906)	0	(6170)	0	(8123)	0.00	(4103)	0.00003	(6469)
abdiqasim_salad_hassan	1	(3700)	1	(4428)	0	(6170)	1	(2625)	0.00	(4103)	0.00003	(6400)
siad_barre	4	(953)	1	(4428)	1	(1670)	1	(2625)	8.00	(3512)	0.00026	(763)
abdirashid_ali_shermarke	2	(2064)	2	(2262)	1	(1670)	1	(2625)	6.00	(3558)	0.00043	(305)
aden_abdullah_osman_daar	1	(3700)	1	(4428)	1	(1670)	1	(2625)	0.00	(4103)	0.00021	(1151)
abdou_diouf	2	(2064)	2	(2262)	1	(1670)	1	(2625)	12482.00	(1606)	0.00017	(1514)
abdoulaye_wade	2	(2064)	1	(4428)	1	(1670)	1	(2625)	3267.00	(2695)	0.00011	(3077)
léopold_sédar_senghor	3	(1334)	2	(2262)	1	(1670)	1	(2625)	50105.52	(707)	0.00014	(2492)
abdul-halim_sadulayev	1	(3700)	2	(2262)	1	(1670)	1	(2625)	3272.00	(2513)	0.00007	(4109)
