user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
14th_dalai_lama	8	(757)	2	(4125)	1	(1651)	1	(3219)	19040.59	(2183)	0.00008	(2404)
heinrich_harrer	3	(2298)	1	(6853)	1	(1651)	1	(3219)	3594.07	(3968)	0.00012	(1759)
thubten_gyatso,_13th_dalai_lama	1	(5356)	0	(12735)	1	(1651)	0	(10536)	0.00	(5744)	0.00005	(3440)
40_glocc	1	(5356)	3	(2643)	1	(1651)	2	(589)	0.00	(5744)	0.00008	(2468)
50_cent	38	(47)	13	(189)	4	(77)	4	(64)	183154.91	(456)	0.00094	(111)
dr._dre	24	(140)	11	(299)	4	(77)	4	(64)	213734.11	(399)	0.00083	(133)
tony_yayo	5	(1320)	2	(4125)	3	(137)	2	(589)	1037.01	(4380)	0.00022	(1033)
big_pun	5	(1320)	2	(4125)	2	(272)	2	(589)	227.77	(4682)	0.00013	(1649)
dmx_(rapper)	10	(561)	2	(4125)	4	(77)	2	(589)	61926.08	(1109)	0.00042	(369)
eminem	49	(29)	32	(9)	4	(77)	4	(64)	1820702.35	(23)	0.00156	(45)
fat_joe	12	(417)	19	(59)	3	(137)	4	(64)	71240.58	(1001)	0.00033	(517)
jay-z	47	(34)	11	(299)	4	(77)	4	(64)	495029.05	(158)	0.00129	(62)
lil'_kim	15	(291)	1	(6853)	4	(77)	0	(10536)	186.26	(4713)	0.00024	(774)
lloyd_banks	9	(646)	5	(1274)	4	(77)	3	(173)	6496.07	(3280)	0.00030	(594)
onyx_(group)	2	(3308)	1	(6853)	1	(1651)	0	(10536)	9454.00	(2970)	0.00010	(2092)
the_notorious_b.i.g	11	(481)	0	(12735)	4	(77)	0	(10536)	0.00	(5744)	0.00066	(187)
young_buck	5	(1320)	3	(2643)	3	(137)	2	(589)	1358.87	(4305)	0.00019	(1168)
aage_bohr	0	(10182)	1	(6853)	0	(6954)	0	(10536)	0.00	(5744)	0.00001	(12454)
niels_bohr	8	(757)	1	(6853)	1	(1651)	0	(10536)	9452.75	(3040)	0.00013	(1679)
aaliyah	1	(5356)	4	(1772)	1	(1651)	3	(173)	727.28	(4469)	0.00006	(3108)
gladys_knight	7	(899)	2	(4125)	3	(137)	2	(589)	73696.34	(982)	0.00015	(1482)
missy_elliott	15	(291)	5	(1274)	4	(77)	4	(64)	49285.49	(1283)	0.00028	(626)
r._kelly	20	(186)	13	(189)	4	(77)	4	(64)	207974.73	(409)	0.00056	(249)
timbaland	26	(112)	16	(108)	4	(77)	4	(64)	462132.92	(175)	0.00079	(141)
aaron_burr	0	(10182)	1	(6853)	0	(6954)	0	(10536)	0.00	(5744)	0.00001	(12454)
alexander_hamilton	2	(3308)	0	(12735)	1	(1651)	0	(10536)	0.00	(5744)	0.00002	(5871)
aaron_carter	0	(10182)	3	(2643)	0	(6954)	2	(589)	0.00	(5744)	0.00001	(11764)
backstreet_boys	15	(291)	2	(4125)	1	(1651)	2	(589)	35857.91	(1581)	0.00049	(292)
hilary_duff	11	(481)	2	(4125)	1	(1651)	1	(3219)	18915.00	(2196)	0.00015	(1469)
lindsay_lohan	15	(291)	16	(108)	1	(1651)	2	(589)	427503.10	(200)	0.00008	(2439)
aaron_copland	6	(1074)	2	(4125)	1	(1651)	1	(3219)	35862.51	(1580)	0.00007	(2808)
anton_webern	6	(1074)	1	(6853)	1	(1651)	1	(3219)	23959.43	(1964)	0.00006	(3048)
pierre_boulez	9	(646)	1	(6853)	1	(1651)	1	(3219)	15833.58	(2343)	0.00007	(2732)
aaron_johnson_(actor)	0	(10182)	1	(6853)	0	(6954)	1	(3219)	0.00	(5744)	0.00001	(12454)
john_lennon	26	(112)	9	(465)	2	(272)	3	(173)	703405.20	(102)	0.00032	(547)
aaron_lennon	0	(10182)	2	(4125)	0	(6954)	1	(3219)	0.00	(5744)	0.00001	(10527)
cristiano_ronaldo	29	(93)	4	(1772)	2	(272)	1	(3219)	437814.01	(197)	0.00027	(649)
jamie_carragher	2	(3308)	0	(12735)	0	(6954)	0	(10536)	0.00	(5744)	0.00002	(7035)
aaron_mcgruder	0	(10182)	1	(6853)	0	(6954)	0	(10536)	0.00	(5744)	0.00001	(12454)
huey_p._newton	1	(5356)	0	(12735)	0	(6954)	0	(10536)	0.00	(5744)	0.00002	(6359)
aaron_north	0	(10182)	4	(1772)	0	(6954)	2	(589)	0.00	(5744)	0.00001	(10199)
bob_dylan	54	(24)	35	(6)	2	(272)	3	(173)	2728875.90	(9)	0.00090	(121)
courtney_love	11	(481)	3	(2643)	2	(272)	2	(589)	37765.73	(1547)	0.00014	(1592)
neil_young	8	(757)	2	(4125)	2	(272)	1	(3219)	2227.81	(4158)	0.00006	(3083)
the_verve	6	(1074)	1	(6853)	1	(1651)	1	(3219)	40201.97	(1476)	0.00009	(2207)
aaron_peirsol	0	(10182)	1	(6853)	0	(6954)	0	(10536)	0.00	(5744)	0.00001	(12454)
ryan_lochte	1	(5356)	0	(12735)	0	(6954)	0	(10536)	0.00	(5744)	0.00002	(6359)
aaron_spelling	4	(1700)	1	(6853)	1	(1651)	0	(10536)	9455.00	(2954)	0.00005	(3196)
tori_spelling	1	(5356)	0	(12735)	1	(1651)	0	(10536)	0.00	(5744)	0.00006	(2918)
aasif_mandvi	0	(10182)	2	(4125)	0	(6954)	1	(3219)	0.00	(5744)	0.00001	(10527)
bill_clinton	32	(74)	4	(1772)	2	(272)	1	(3219)	175371.60	(474)	0.00045	(331)
tariq_aziz	2	(3308)	4	(1772)	1	(1651)	2	(589)	9423.21	(3071)	0.00004	(3804)
abay_qunanbayuli	0	(10182)	1	(6853)	0	(6954)	1	(3219)	0.00	(5744)	0.00001	(12454)
nezami_ganjavi	11	(481)	4	(1772)	1	(1651)	2	(589)	50238.65	(1266)	0.00009	(2299)
abba_eban	1	(5356)	2	(4125)	1	(1651)	1	(3219)	526.88	(4543)	0.00010	(1977)
golda_meir	16	(268)	6	(958)	2	(272)	2	(589)	112341.81	(710)	0.00059	(230)
yigal_allon	4	(1700)	0	(12735)	2	(272)	0	(10536)	0.00	(5744)	0.00013	(1681)
abbey_lincoln	1	(5356)	1	(6853)	1	(1651)	1	(3219)	3076.04	(4040)	0.00003	(5476)
marilyn_monroe	60	(19)	2	(4125)	2	(272)	2	(589)	1206555.44	(40)	0.00107	(91)
abbie_hoffman	2	(3308)	4	(1772)	1	(1651)	1	(3219)	14800.74	(2441)	0.00003	(5123)
herbert_marcuse	6	(1074)	18	(70)	2	(272)	3	(173)	136815.36	(598)	0.00003	(5011)
jerry_rubin	1	(5356)	1	(6853)	1	(1651)	1	(3219)	0.00	(5744)	0.00002	(7637)
noam_chomsky	6	(1074)	0	(12735)	1	(1651)	0	(10536)	0.00	(5744)	0.00007	(2765)
timothy_leary	9	(646)	1	(6853)	1	(1651)	1	(3219)	114242.71	(701)	0.00009	(2275)
abd_al-karim_qasim	2	(3308)	5	(1274)	1	(1651)	2	(589)	33453.00	(1651)	0.00004	(4163)
ahmad_mukhtar_baban	1	(5356)	2	(4125)	1	(1651)	1	(3219)	0.00	(5744)	0.00002	(7547)
ahmed_hassan_al-bakr	4	(1700)	5	(1274)	2	(272)	2	(589)	52351.50	(1223)	0.00010	(2062)
mustafa_barzani	1	(5356)	0	(12735)	1	(1651)	0	(10536)	0.00	(5744)	0.00002	(7548)
nuri_as-said	5	(1320)	0	(12735)	1	(1651)	0	(10536)	0.00	(5744)	0.00006	(3079)
saddam_hussein	16	(268)	22	(32)	2	(272)	2	(589)	454514.49	(185)	0.00036	(443)
abd_al-muhsin_as-sa'dun	1	(5356)	1	(6853)	1	(1651)	1	(3219)	0.00	(5744)	0.00003	(5141)
jafar_al-askari	1	(5356)	2	(4125)	1	(1651)	1	(3219)	1.00	(5545)	0.00004	(4215)
abd_ar-razzaq_an-naif	1	(5356)	1	(6853)	1	(1651)	1	(3219)	0.00	(5744)	0.00003	(5012)
abdel_aziz_al-rantissi	0	(10182)	1	(6853)	0	(6954)	0	(10536)	0.00	(5744)	0.00001	(12454)
khaled_mashal	1	(5356)	0	(12735)	0	(6954)	0	(10536)	0.00	(5744)	0.00002	(6359)
abdelaziz_bouteflika	3	(2298)	3	(2643)	2	(272)	1	(3219)	41575.83	(1443)	0.00013	(1705)
ahmed_ben_bella	2	(3308)	2	(4125)	2	(272)	1	(3219)	17873.58	(2270)	0.00010	(2045)
gaston_thorn	1	(5356)	0	(12735)	1	(1651)	0	(10536)	0.00	(5744)	0.00005	(3376)
liamine_zéroual	2	(3308)	2	(4125)	1	(1651)	1	(3219)	14553.00	(2461)	0.00011	(1894)
abdelkader_taleb_omar	0	(10182)	1	(6853)	0	(6954)	0	(10536)	0.00	(5744)	0.00001	(12454)
mohamed_abdelaziz	1	(5356)	0	(12735)	0	(6954)	0	(10536)	0.00	(5744)	0.00002	(6359)
abdel_khaliq_mahjub	0	(10182)	1	(6853)	0	(6954)	0	(10536)	0.00	(5744)	0.00001	(12454)
gaafar_nimeiry	3	(2298)	0	(12735)	1	(1651)	0	(10536)	0.00	(5744)	0.00002	(5629)
abdel_latif_boghdadi_(politician)	2	(3308)	3	(2643)	1	(1651)	2	(589)	1932.82	(4204)	0.00002	(5828)
abdel_hakim_amer	3	(2298)	0	(12735)	1	(1651)	0	(10536)	0.00	(5744)	0.00003	(4453)
gamal_abdel_nasser	16	(268)	4	(1772)	2	(272)	2	(589)	265107.69	(319)	0.00036	(447)
hussein_el-shafei	4	(1700)	5	(1274)	1	(1651)	2	(589)	12629.81	(2564)	0.00005	(3387)
abdellatif_filali	0	(10182)	1	(6853)	0	(6954)	1	(3219)	0.00	(5744)	0.00001	(12454)
