user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
"weird_al"_yankovic	1	(6909)	8	(679)	0	(10674)	3	(743)	7596.15	(5605)	0.00001	(11699)
chamillionaire	5	(1848)	3	(3540)	2	(1287)	3	(743)	9586.89	(4902)	0.00004	(6911)
coolio	2	(4351)	5	(1658)	0	(10674)	3	(743)	480.29	(6634)	0.00001	(11631)
don_mclean	4	(2327)	2	(5444)	2	(1287)	2	(2844)	36509.27	(2872)	0.00009	(2965)
eminem	41	(43)	24	(26)	4	(93)	5	(86)	810365.10	(146)	0.00044	(210)
james_blunt	5	(1848)	3	(3540)	2	(1287)	2	(2844)	24305.64	(3512)	0.00006	(4909)
lady_gaga	15	(414)	16	(119)	4	(93)	5	(86)	541468.51	(241)	0.00013	(1615)
michael_jackson	89	(5)	45	(1)	4	(93)	5	(86)	14617424.82	(1)	0.00142	(13)
wendy_carlos	2	(4351)	3	(3540)	1	(4228)	2	(2844)	10534.07	(4821)	0.00003	(7609)
14th_dalai_lama	1	(6909)	10	(426)	1	(4228)	4	(187)	23493.00	(3573)	0.00002	(8672)
deng_xiaoping	21	(229)	16	(119)	4	(93)	4	(187)	390581.49	(350)	0.00047	(190)
george_w._bush	112	(2)	31	(10)	4	(93)	4	(187)	5647664.60	(4)	0.00248	(2)
heinrich_harrer	3	(3047)	4	(2359)	1	(4228)	2	(2844)	57520.92	(2205)	0.00003	(7038)
jawaharlal_nehru	11	(680)	2	(5444)	2	(1287)	2	(2844)	241550.98	(635)	0.00019	(988)
mao_zedong	48	(33)	19	(68)	4	(93)	4	(187)	1210172.51	(82)	0.00127	(18)
martin_scorsese	52	(24)	25	(23)	4	(93)	4	(187)	4121758.22	(8)	0.00107	(29)
mohandas_karamchand_gandhi	20	(253)	12	(270)	2	(1287)	3	(743)	1032246.95	(104)	0.00044	(211)
thubten_gyatso,_13th_dalai_lama	2	(4351)	2	(5444)	1	(4228)	1	(7079)	15666.00	(4154)	0.00003	(7204)
thubten_jigme_norbu	1	(6909)	0	(15863)	1	(4228)	0	(14993)	0.00	(7829)	0.00001	(11860)
zhou_enlai	20	(253)	8	(679)	4	(93)	4	(187)	108918.14	(1374)	0.00042	(220)
50_cent	29	(112)	13	(216)	4	(93)	5	(86)	316804.27	(455)	0.00032	(381)
dr._dre	25	(159)	11	(341)	4	(93)	5	(86)	417557.12	(326)	0.00047	(187)
fat_joe	10	(781)	5	(1658)	2	(1287)	3	(743)	34760.50	(2946)	0.00017	(1185)
jam-master_jay	1	(6909)	3	(3540)	1	(4228)	2	(2844)	133224.05	(1158)	0.00003	(7557)
jay-z	49	(30)	10	(426)	4	(93)	5	(86)	372662.18	(371)	0.00055	(137)
justin_timberlake	31	(91)	15	(154)	4	(93)	5	(86)	920144.23	(123)	0.00036	(317)
kanye_west	34	(72)	16	(119)	4	(93)	5	(86)	816213.48	(144)	0.00039	(257)
lloyd_banks	11	(680)	6	(1198)	3	(316)	4	(187)	6826.40	(5655)	0.00010	(2580)
mike_tyson	12	(598)	6	(1198)	2	(1287)	2	(2844)	134924.94	(1145)	0.00038	(283)
sean_combs	12	(598)	6	(1198)	4	(93)	4	(187)	101251.86	(1463)	0.00019	(982)
timbaland	30	(99)	15	(154)	4	(93)	5	(86)	372865.11	(370)	0.00032	(398)
tony_yayo	4	(2327)	4	(2359)	3	(316)	4	(187)	757.10	(6525)	0.00006	(4964)
young_buck	6	(1509)	5	(1658)	3	(316)	4	(187)	13979.96	(4364)	0.00007	(4385)
9th_wonder	0	(12063)	4	(2359)	0	(10674)	3	(743)	0.00	(7829)	0.00001	(12169)
mary_j._blige	25	(159)	9	(535)	4	(93)	4	(187)	125971.45	(1214)	0.00029	(454)
spike_lee	16	(357)	1	(9066)	2	(1287)	1	(7079)	46990.13	(2496)	0.00018	(1060)
a-trak	0	(12063)	1	(9066)	0	(10674)	1	(7079)	0.00	(7829)	0.00001	(13892)
a._a._milne	1	(6909)	1	(9066)	1	(4228)	1	(7079)	2687.70	(6109)	0.00002	(9757)
h._g._wells	9	(905)	5	(1658)	2	(1287)	3	(743)	298890.36	(482)	0.00025	(613)
a._e._becquerel	1	(6909)	1	(9066)	1	(4228)	1	(7079)	0.00	(7829)	0.00003	(7434)
henri_becquerel	2	(4351)	2	(5444)	1	(4228)	1	(7079)	20829.00	(3759)	0.00005	(5395)
a._e._van_vogt	2	(4351)	2	(5444)	1	(4228)	2	(2844)	86062.36	(1655)	0.00003	(7263)
alfred_korzybski	1	(6909)	8	(679)	1	(4228)	2	(2844)	79273.70	(1753)	0.00002	(8723)
john_w._campbell	4	(2327)	3	(3540)	1	(4228)	2	(2844)	111269.85	(1350)	0.00007	(4110)
a._j._mclean	1	(6909)	2	(5444)	1	(4228)	1	(7079)	0.00	(7829)	0.00015	(1412)
