user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
12_gauge_(rapper)	0	(17358)	2	(7508)	0	(15192)	2	(3117)	0.00	(11194)	0.00001	(17617)
ice_cube	14	(567)	4	(3545)	3	(215)	2	(3117)	134557.95	(1977)	0.00023	(535)
tupac_shakur	20	(307)	17	(192)	3	(215)	3	(475)	699843.36	(319)	0.00018	(842)
14th_dalai_lama	2	(6281)	11	(616)	1	(5490)	3	(475)	47046.00	(4090)	0.00003	(8170)
buddha_loetla_nabhalai	9	(1116)	0	(19576)	3	(215)	0	(18248)	0.00	(11194)	0.00017	(962)
deng_xiaoping	25	(193)	5	(2547)	3	(215)	3	(475)	357192.51	(748)	0.00034	(265)
jawaharlal_nehru	17	(402)	5	(2547)	3	(215)	3	(475)	552468.06	(438)	0.00031	(318)
jean-jacques_annaud	3	(4297)	4	(3545)	1	(5490)	2	(3117)	58189.63	(3573)	0.00002	(11139)
ma_bufang	1	(10071)	1	(11980)	1	(5490)	1	(8416)	45.14	(10195)	0.00001	(15990)
mao_zedong	46	(59)	22	(108)	3	(215)	4	(167)	2414129.38	(64)	0.00072	(59)
martin_scorsese	33	(108)	63	(1)	3	(215)	3	(475)	7757527.04	(11)	0.00029	(354)
mohandas_karamchand_gandhi	33	(108)	27	(66)	3	(215)	3	(475)	3474882.38	(46)	0.00053	(123)
thubten_gyatso,_13th_dalai_lama	2	(6281)	2	(7508)	1	(5490)	1	(8416)	23528.00	(5659)	0.00003	(8005)
thubten_jigme_norbu	1	(10071)	1	(11980)	1	(5490)	1	(8416)	0.00	(11194)	0.00001	(15990)
zhou_enlai	14	(567)	5	(2547)	2	(1479)	3	(475)	133283.97	(1992)	0.00018	(823)
50_cent	15	(505)	11	(616)	3	(215)	3	(475)	160187.33	(1693)	0.00012	(1642)
dr._dre	19	(337)	6	(1933)	3	(215)	3	(475)	678941.67	(338)	0.00034	(255)
eminem	28	(155)	24	(83)	3	(215)	3	(475)	2951094.71	(55)	0.00030	(339)
fat_joe	7	(1554)	2	(7508)	2	(1479)	1	(8416)	38993.90	(4516)	0.00005	(5352)
jay-z	34	(103)	5	(2547)	3	(215)	3	(475)	212659.20	(1294)	0.00021	(617)
lil_scrappy	1	(10071)	1	(11980)	1	(5490)	1	(8416)	124.93	(10040)	0.00002	(11445)
ll_cool_j	11	(826)	0	(19576)	2	(1479)	0	(18248)	0.00	(11194)	0.00004	(6117)
lloyd_banks	5	(2436)	2	(7508)	2	(1479)	1	(8416)	2261.98	(9129)	0.00003	(7436)
masako_kondo	5	(2436)	0	(19576)	1	(5490)	0	(18248)	0.00	(11194)	0.00002	(9093)
raphael_saadiq	3	(4297)	7	(1468)	2	(1479)	3	(475)	89511.19	(2718)	0.00003	(8032)
tony_yayo	4	(3143)	0	(19576)	2	(1479)	0	(18248)	0.00	(11194)	0.00004	(6014)
young_buck	2	(6281)	0	(19576)	2	(1479)	0	(18248)	0.00	(11194)	0.00003	(8892)
aage_bohr	2	(6281)	3	(5028)	2	(1479)	2	(3117)	23518.00	(5716)	0.00004	(6891)
