user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
Моисей	5	(294)	10	(75)	1	(488)	2	(116)	15094.50	(231)	0.00030	(701)
Эхнатон	3	(499)	1	(1281)	1	(488)	1	(688)	1642.00	(748)	0.00190	(96)
Шёнберг,_Арнольд	4	(379)	0	(2082)	1	(488)	0	(1778)	0.00	(1237)	0.00021	(919)
Иисус_Христос	21	(13)	11	(54)	2	(88)	2	(116)	127836.76	(8)	0.00237	(65)
Григорий_Нисский	5	(294)	1	(1281)	1	(488)	1	(688)	1236.65	(801)	0.00026	(797)
Аарон	6	(220)	2	(803)	1	(488)	2	(116)	4357.18	(506)	0.00028	(743)
Фрейд,_Зигмунд	17	(30)	3	(522)	2	(88)	1	(688)	10274.24	(304)	0.00085	(265)
Россини,_Джоаккино	6	(220)	1	(1281)	1	(488)	1	(688)	9162.50	(322)	0.00091	(237)
Рембрандт	9	(102)	4	(359)	1	(488)	2	(116)	9352.73	(318)	0.00086	(261)
Рамсес_II	3	(499)	0	(2082)	1	(488)	0	(1778)	0.00	(1237)	0.00018	(993)
Микеланджело	20	(19)	2	(803)	2	(88)	2	(116)	35292.55	(107)	0.00443	(21)
Лютер,_Мартин	12	(59)	2	(803)	2	(88)	0	(1778)	2256.54	(679)	0.00159	(123)
Гитлер,_Адольф	64	(1)	2	(803)	2	(88)	0	(1778)	2993.55	(599)	0.00634	(13)
Жоскен_Депре	1	(1150)	0	(2082)	1	(488)	0	(1778)	0.00	(1237)	0.00081	(276)
Хелен_Миррен	3	(499)	3	(522)	2	(88)	2	(116)	21212.27	(174)	0.00075	(302)
Олтмен,_Роберт	4	(379)	0	(2082)	2	(88)	0	(1778)	0.00	(1237)	0.00035	(620)
Елизавета_II	44	(3)	6	(195)	2	(88)	2	(116)	83722.68	(26)	0.00334	(41)
Елизавета_I	5	(294)	8	(119)	2	(88)	2	(116)	36407.79	(99)	0.00083	(270)
Барри,_Гарет	0	(1903)	1	(1281)	0	(1508)	0	(1778)	0.00	(1237)	0.00006	(1950)
Ширер,_Алан	1	(1150)	0	(2082)	0	(1508)	0	(1778)	0.00	(1237)	0.00012	(1278)
Нэт_Кинг_Коул	1	(1150)	1	(1281)	1	(488)	0	(1778)	32.23	(1092)	0.00009	(1637)
Синатра,_Фрэнк	8	(136)	0	(2082)	2	(88)	0	(1778)	0.00	(1237)	0.00060	(392)
Хайдеггер,_Мартин	13	(53)	22	(7)	2	(88)	3	(35)	62760.78	(48)	0.00047	(488)
Гадамер,_Ганс_Георг	1	(1150)	3	(522)	1	(488)	3	(35)	0.00	(1237)	0.00008	(1699)
Гераклит_Эфесский	3	(499)	5	(268)	2	(88)	3	(35)	1694.15	(730)	0.00172	(109)
Шеллинг,_Фридрих_Вильгельм_Йозеф_фон	8	(136)	12	(38)	2	(88)	3	(35)	63791.47	(46)	0.00057	(416)
Фуко,_Мишель	3	(499)	9	(92)	2	(88)	3	(35)	12829.22	(266)	0.00020	(935)
Деррида,_Жак	2	(725)	4	(359)	2	(88)	3	(35)	180.98	(1027)	0.00011	(1423)
Сартр,_Жан-Поль	10	(83)	4	(359)	2	(88)	2	(116)	73687.87	(34)	0.00074	(309)
Арендт,_Ханна	3	(499)	12	(38)	2	(88)	3	(35)	12788.28	(267)	0.00014	(1198)
Рорти,_Ричард	1	(1150)	0	(2082)	1	(488)	0	(1778)	0.00	(1237)	0.00008	(1698)
Дильтей,_Вильгельм	1	(1150)	2	(803)	1	(488)	2	(116)	18.85	(1107)	0.00008	(1696)
Софокл	11	(68)	4	(359)	2	(88)	2	(116)	13023.49	(262)	0.00080	(277)
Мерло-Понти,_Морис	1	(1150)	8	(119)	1	(488)	3	(35)	233.31	(1011)	0.00008	(1696)
Аристотель	21	(13)	4	(359)	2	(88)	3	(35)	64913.70	(44)	0.00701	(8)
Ницше,_Фридрих	21	(13)	12	(38)	2	(88)	3	(35)	88669.50	(23)	0.00087	(256)
Гуссерль,_Эдмунд	5	(294)	5	(268)	2	(88)	3	(35)	2926.56	(602)	0.00015	(1127)
Платон	50	(2)	6	(195)	2	(88)	3	(35)	58439.78	(54)	0.01033	(2)
Брентано,_Франц	2	(725)	0	(2082)	1	(488)	0	(1778)	0.00	(1237)	0.00011	(1451)
Кант,_Иммануил	21	(13)	2	(803)	2	(88)	2	(116)	6050.32	(434)	0.00058	(403)
Леви-Стросс,_Клод	3	(499)	0	(2082)	1	(488)	0	(1778)	0.00	(1237)	0.00012	(1370)
Кьеркегор,_Сёрен_Обю	6	(220)	6	(195)	2	(88)	3	(35)	16382.89	(217)	0.00019	(967)
Анаксимандр	4	(379)	0	(2082)	2	(88)	0	(1778)	0.00	(1237)	0.00111	(200)
Ясперс,_Карл_Теодор	2	(725)	3	(522)	2	(88)	2	(116)	3236.76	(581)	0.00009	(1542)
Гегель,_Георг_Вильгельм_Фридрих	19	(22)	4	(359)	2	(88)	3	(35)	60160.03	(51)	0.00094	(231)
Aerosmith	8	(136)	4	(359)	1	(488)	2	(116)	16436.46	(216)	0.00080	(278)
Тайлер,_Лив	3	(499)	1	(1281)	1	(488)	1	(688)	2414.74	(660)	0.00034	(630)
Джексон,_Майкл	14	(41)	11	(54)	3	(45)	2	(116)	72393.32	(36)	0.00140	(148)
Спирс,_Бритни	14	(41)	8	(119)	3	(45)	3	(35)	31875.66	(122)	0.00198	(85)
Эминем	15	(35)	13	(32)	3	(45)	3	(35)	91892.37	(17)	0.00380	(27)
Холбрук,_Ричард	0	(1903)	3	(522)	0	(1508)	1	(688)	0.00	(1237)	0.00006	(1950)
Картер,_Джимми	11	(68)	0	(2082)	2	(88)	0	(1778)	0.00	(1237)	0.00120	(168)
Обама,_Барак	9	(102)	4	(359)	2	(88)	2	(116)	42461.54	(82)	0.00088	(254)
Клинтон,_Хиллари	9	(102)	1	(1281)	2	(88)	1	(688)	34039.99	(113)	0.00099	(220)
Лавуазье,_Антуан_Лоран	2	(725)	2	(803)	1	(488)	1	(688)	3706.32	(540)	0.00014	(1197)
Гёльдерлин,_Иоганн_Христиан_Фридрих	3	(499)	8	(119)	2	(88)	3	(35)	21037.32	(175)	0.00037	(606)
Спиноза,_Бенедикт	5	(294)	9	(92)	2	(88)	3	(35)	25864.29	(143)	0.00020	(937)
Шопенгауэр,_Артур	7	(166)	12	(38)	2	(88)	3	(35)	51176.24	(63)	0.00048	(473)
Лейбниц,_Готфрид_Вильгельм	14	(41)	1	(1281)	2	(88)	1	(688)	3744.03	(538)	0.00066	(338)
