user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
尼克·卡特	3	(2928)	1	(6473)	1	(3795)	1	(4702)	0.00	(6155)	0.00005	(4773)
後街男孩	6	(1564)	6	(1510)	1	(3795)	2	(2280)	86065.85	(831)	0.00012	(2323)
畢·彼特	14	(608)	3	(3107)	2	(1675)	2	(2280)	26129.52	(2008)	0.00011	(2640)
豪兒·多羅夫	2	(3968)	1	(6473)	1	(3795)	1	(4702)	0.00	(6155)	0.00004	(5486)
B.o.B	1	(5871)	2	(4309)	1	(3795)	1	(4702)	6656.00	(3826)	0.00005	(4890)
卢普·菲亚斯科	2	(3968)	1	(6473)	1	(3795)	1	(4702)	1.00	(6006)	0.00004	(5723)
Banksy	1	(5871)	9	(867)	1	(3795)	3	(1003)	32266.34	(1788)	0.00002	(8144)
克莉絲汀·阿奎萊拉	17	(483)	14	(464)	4	(730)	4	(574)	179394.75	(388)	0.00017	(1381)
姬·摩絲	7	(1351)	2	(4309)	2	(1675)	1	(4702)	72650.41	(971)	0.00012	(2321)
安迪·沃荷	7	(1351)	3	(3107)	2	(1675)	2	(2280)	55907.14	(1188)	0.00006	(4027)
愛德華·霍普	2	(3968)	1	(6473)	1	(3795)	1	(4702)	14905.18	(2739)	0.00003	(6684)
昆汀·塔伦蒂诺	10	(937)	10	(735)	2	(1675)	2	(2280)	307872.86	(196)	0.00024	(777)
森姆·L·積遜	6	(1564)	1	(6473)	2	(1675)	1	(4702)	18611.02	(2448)	0.00006	(4270)
玛丽莲·梦露	23	(309)	24	(227)	3	(946)	3	(1003)	853438.37	(54)	0.00047	(245)
约翰·特拉沃尔塔	3	(2928)	3	(3107)	2	(1675)	2	(2280)	10896.75	(3100)	0.00005	(4833)
维多利亚_(英国君主)	60	(50)	9	(867)	3	(946)	3	(1003)	896372.63	(50)	0.00154	(27)
B·B·金	4	(2290)	5	(1875)	2	(1675)	2	(2280)	46719.22	(1384)	0.00006	(4308)
乔治·沃克·布什	69	(31)	49	(75)	4	(730)	4	(574)	2447118.33	(7)	0.00157	(22)
吉米·亨德里克斯	12	(749)	4	(2395)	2	(1675)	2	(2280)	78325.49	(911)	0.00013	(2246)
埃里克·克莱普顿	13	(671)	21	(268)	2	(1675)	2	(2280)	175397.52	(397)	0.00014	(1990)
巴迪·盖伊	3	(2928)	2	(4309)	2	(1675)	2	(2280)	1718.53	(4658)	0.00006	(4260)
肖恩·康纳利	11	(842)	2	(4309)	2	(1675)	1	(4702)	9185.88	(3274)	0.00068	(132)
Chara	3	(2928)	3	(3107)	1	(3795)	2	(2280)	18069.31	(2483)	0.00004	(5861)
岩井俊二	9	(1040)	13	(513)	2	(1675)	3	(1003)	433438.76	(129)	0.00008	(3361)
王子_(音樂家)	5	(1857)	0	(9867)	3	(946)	0	(9245)	0.00	(6155)	0.00008	(3397)
碧姬·芭杜	2	(3968)	2	(4309)	1	(3795)	2	(2280)	14970.43	(2734)	0.00004	(5718)
C·P·斯诺	0	(9125)	11	(644)	0	(8154)	3	(1003)	0.00	(6155)	0.00001	(9222)
亨利·詹姆斯	13	(671)	2	(4309)	3	(946)	2	(2280)	78929.59	(904)	0.00017	(1411)
卡尔·萨根	2	(3968)	2	(4309)	1	(3795)	1	(4702)	14801.33	(2751)	0.00004	(5141)
司汤达	5	(1857)	9	(867)	2	(1675)	3	(1003)	25597.33	(2031)	0.00010	(2784)
哈羅德·威爾遜	18	(439)	14	(464)	4	(730)	4	(574)	245101.08	(256)	0.00032	(494)
威廉·莎士比亚	118	(4)	27	(191)	4	(730)	4	(574)	3271504.82	(2)	0.00200	(8)
安东尼·特洛勒普	1	(5871)	0	(9867)	0	(8154)	0	(9245)	0.00	(6155)	0.00001	(9077)
巴尔扎克	19	(408)	5	(1875)	3	(946)	2	(2280)	47467.79	(1359)	0.00027	(691)
帕特里克·布萊克特，布萊克特男爵	1	(5871)	1	(6473)	0	(8154)	1	(4702)	168.51	(5325)	0.00001	(9077)
查尔斯·狄更斯	32	(182)	7	(1216)	3	(946)	3	(1003)	365192.24	(157)	0.00047	(249)
艾尔文·托夫勒	1	(5871)	0	(9867)	0	(8154)	0	(9245)	0.00	(6155)	0.00001	(9077)
馬塞爾·普魯斯特	12	(749)	2	(4309)	3	(946)	2	(2280)	43663.93	(1464)	0.00013	(2177)
C·S·路易斯	5	(1857)	3	(3107)	1	(3795)	1	(4702)	59668.40	(1128)	0.00012	(2380)
安東尼·霍普金斯	8	(1187)	14	(464)	2	(1675)	3	(1003)	439334.55	(127)	0.00007	(3704)
李察·艾登堡祿	6	(1564)	1	(6473)	2	(1675)	0	(9245)	8089.00	(3492)	0.00018	(1337)
詹姆斯·I·巴刻	1	(5871)	1	(6473)	1	(3795)	1	(4702)	0.00	(6155)	0.00005	(4731)
C·道格拉斯·狄龙	2	(3968)	7	(1216)	1	(3795)	3	(1003)	18256.49	(2473)	0.00006	(3977)
亨利·H·福勒	1	(5871)	1	(6473)	1	(3795)	1	(4702)	0.00	(6155)	0.00002	(7650)
德怀特·艾森豪威尔	47	(83)	9	(867)	4	(730)	4	(574)	355643.25	(162)	0.00092	(73)
托马斯·杜威	6	(1564)	2	(4309)	3	(946)	2	(2280)	6306.79	(3981)	0.00020	(1118)
林登·约翰逊	31	(189)	6	(1510)	4	(730)	4	(574)	198379.20	(336)	0.00105	(58)
约翰·福斯特·杜勒斯	4	(2290)	3	(3107)	2	(1675)	2	(2280)	12508.46	(2971)	0.00008	(3435)
约翰·肯尼迪	46	(87)	32	(146)	4	(730)	4	(574)	1379932.84	(25)	0.00110	(56)
纳尔逊·洛克菲勒	4	(2290)	1	(6473)	2	(1675)	1	(4702)	562.13	(5045)	0.00010	(2741)
DAIGO	2	(3968)	1	(6473)	1	(3795)	1	(4702)	281.77	(5215)	0.00004	(5207)
竹下登	15	(557)	11	(644)	5	(571)	4	(574)	62844.15	(1086)	0.00033	(468)
Ice_Cube	2	(3968)	1	(6473)	2	(1675)	1	(4702)	0.00	(6155)	0.00011	(2616)
史努比狗狗	11	(842)	4	(2395)	3	(946)	1	(4702)	36877.44	(1645)	0.00018	(1255)
吐派克·夏庫爾	5	(1857)	0	(9867)	2	(1675)	0	(9245)	0.00	(6155)	0.00013	(2141)
D·J·姆本加	0	(9125)	1	(6473)	0	(8154)	1	(4702)	0.00	(6155)	0.00001	(9867)
蒙博托·塞塞·塞科	7	(1351)	1	(6473)	2	(1675)	1	(4702)	112.21	(5387)	0.00039	(356)
夏奇拉	5	(1857)	6	(1510)	2	(1675)	2	(2280)	49850.16	(1305)	0.00009	(3132)
瑪麗蓮·曼森	7	(1351)	2	(4309)	1	(3795)	1	(4702)	37728.53	(1624)	0.00008	(3539)
迈克尔·杰克逊	62	(46)	25	(216)	6	(468)	4	(574)	2610056.89	(6)	0.00075	(106)
麥當娜	39	(121)	13	(513)	4	(730)	4	(574)	933826.79	(46)	0.00042	(313)
E·M·福斯特	6	(1564)	1	(6473)	2	(1675)	1	(4702)	1241.21	(4794)	0.00007	(3639)
珀西·比希·雪莱	7	(1351)	4	(2395)	2	(1675)	2	(2280)	51798.88	(1269)	0.00017	(1357)
E·T·A·霍夫曼	0	(9125)	1	(6473)	0	(8154)	0	(9245)	0.00	(6155)	0.00001	(9867)
雅克·奥芬巴赫	2	(3968)	0	(9867)	0	(8154)	0	(9245)	0.00	(6155)	0.00003	(6701)
FTIsland	4	(2290)	0	(9867)	2	(1675)	0	(9245)	0.00	(6155)	0.00008	(3262)
Flea	1	(5871)	1	(6473)	1	(3795)	1	(4702)	0.00	(6155)	0.00006	(4021)
嗆辣紅椒	6	(1564)	2	(4309)	1	(3795)	1	(4702)	39067.31	(1588)	0.00011	(2524)
F·W·穆瑙	0	(9125)	1	(6473)	0	(8154)	0	(9245)	0.00	(6155)	0.00001	(9867)
約翰·馬克維奇	3	(2928)	0	(9867)	1	(3795)	0	(9245)	0.00	(6155)	0.00004	(5618)
GACKT	10	(937)	6	(1510)	2	(1675)	3	(1003)	100759.84	(720)	0.00009	(3133)
hyde	5	(1857)	1	(6473)	2	(1675)	1	(4702)	8122.40	(3426)	0.00005	(4827)
吳建豪	18	(439)	33	(137)	9	(315)	10	(140)	261471.25	(235)	0.00012	(2314)
喬許·哈奈特	1	(5871)	5	(1875)	1	(3795)	1	(4702)	14897.11	(2740)	0.00003	(6790)
徐若瑄	34	(162)	44	(88)	14	(161)	13	(103)	118453.75	(612)	0.00015	(1610)
耶稣	62	(46)	14	(464)	4	(730)	3	(1003)	750216.94	(62)	0.00176	(12)
Game_(歌手)	0	(9125)	5	(1875)	0	(8154)	3	(1003)	0.00	(6155)	0.00001	(9794)
克里斯·布朗	6	(1564)	14	(464)	2	(1675)	3	(1003)	69912.57	(1006)	0.00008	(3328)
HISASHI	3	(2928)	3	(3107)	2	(1675)	2	(2280)	19961.00	(2373)	0.00010	(2788)
JIRO	2	(3968)	2	(4309)	2	(1675)	2	(2280)	0.00	(6155)	0.00008	(3373)
TERU	3	(2928)	2	(4309)	2	(1675)	2	(2280)	16170.00	(2653)	0.00008	(3323)
宇多田光	22	(336)	19	(295)	3	(946)	3	(1003)	415326.17	(135)	0.00026	(732)
Heath	1	(5871)	2	(4309)	1	(3795)	1	(4702)	0.00	(6155)	0.00002	(8176)
Hide	4	(2290)	7	(1216)	1	(3795)	2	(2280)	25511.03	(2035)	0.00005	(4966)
