user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
50_Cent	5	(2067)	4	(2906)	3	(854)	2	(3165)	31828.76	(1871)	0.00007	(3557)
Dr._Dre	5	(2067)	4	(2906)	3	(854)	2	(3165)	25137.54	(2188)	0.00013	(2103)
Eminem	9	(1075)	33	(57)	3	(854)	3	(1393)	196799.33	(336)	0.00009	(2894)
Justin_Timberlake	14	(573)	1	(7002)	3	(854)	1	(5757)	8605.86	(3639)	0.00029	(644)
Timbaland	7	(1488)	0	(9702)	2	(2031)	0	(9227)	0.00	(6296)	0.00018	(1349)
A.A._Milne	1	(5830)	3	(3807)	1	(4250)	2	(3165)	15201.71	(2898)	0.00002	(7343)
Brian_Jones	6	(1733)	3	(3807)	2	(2031)	2	(3165)	8463.68	(3763)	0.00034	(507)
H.G._Wells	18	(372)	24	(121)	4	(282)	4	(163)	603350.72	(96)	0.00021	(1045)
P.G._Wodehouse	1	(5830)	2	(5075)	1	(4250)	1	(5757)	576.94	(5394)	0.00002	(7513)
A._R._Rahman	1	(5830)	3	(3807)	1	(4250)	2	(3165)	8124.13	(3798)	0.00002	(8095)
John_Williams	6	(1733)	8	(1146)	2	(2031)	4	(163)	33764.00	(1790)	0.00006	(4320)
Shekhar_Kapur	9	(1075)	1	(7002)	3	(854)	1	(5757)	28238.64	(2029)	0.00009	(2907)
Spike_Lee	17	(423)	7	(1413)	3	(854)	3	(1393)	178339.53	(373)	0.00024	(887)
AAA:_Attack_All_Around	0	(8670)	1	(7002)	0	(7934)	0	(9227)	0.00	(6296)	0.00001	(9104)
Ayumi_Hamasaki	1	(5830)	0	(9702)	0	(7934)	0	(9227)	0.00	(6296)	0.00003	(6560)
Aad_de_Mos	2	(4197)	1	(7002)	1	(4250)	1	(5757)	6.00	(6024)	0.00006	(4219)
Al-Hilal_Al_Saudi_FC_Al-Riyad	5	(2067)	4	(2906)	1	(4250)	1	(5757)	19677.50	(2520)	0.00017	(1481)
Aage_Niels_Bohr	3	(3222)	6	(1771)	2	(2031)	3	(1393)	20792.93	(2448)	0.00018	(1377)
Ben_Roy_Mottelson	3	(3222)	2	(5075)	2	(2031)	2	(3165)	135.63	(5717)	0.00009	(2873)
James_Rainwater	3	(3222)	2	(5075)	2	(2031)	2	(3165)	923.05	(5236)	0.00009	(2879)
Niels_Bohr	22	(256)	5	(2240)	2	(2031)	3	(1393)	93172.94	(763)	0.00043	(336)
Robert_Oppenheimer	15	(513)	5	(2240)	2	(2031)	3	(1393)	140855.61	(488)	0.00030	(613)
Werner_Heisenberg	19	(345)	9	(927)	2	(2031)	4	(163)	258735.43	(254)	0.00039	(413)
Wolfgang_Pauli	14	(573)	6	(1771)	2	(2031)	3	(1393)	219257.24	(305)	0.00030	(610)
Aaliyah	0	(8670)	2	(5075)	0	(7934)	1	(5757)	0.00	(6296)	0.00001	(10389)
Janet_Jackson	6	(1733)	9	(927)	2	(2031)	3	(1393)	57971.68	(1169)	0.00006	(3917)
Aamir_Khan	3	(3222)	4	(2906)	2	(2031)	2	(3165)	18434.74	(2608)	0.00006	(4252)
Kajol	4	(2534)	4	(2906)	2	(2031)	2	(3165)	32379.80	(1845)	0.00009	(3036)
Madhuri_Dixit	2	(4197)	7	(1413)	2	(2031)	2	(3165)	21955.50	(2373)	0.00003	(5998)
Yash_Chopra	4	(2534)	9	(927)	2	(2031)	2	(3165)	25116.79	(2189)	0.00005	(4398)
Aaron	1	(5830)	2	(5075)	1	(4250)	2	(3165)	24704.05	(2216)	0.00008	(3349)
Ambròs_de_Milà	4	(2534)	2	(5075)	1	(4250)	2	(3165)	20391.37	(2465)	0.00009	(2888)
Moisès	15	(513)	6	(1771)	3	(854)	3	(1393)	163222.78	(409)	0.00043	(337)
Aaron_Aaronsohn	0	(8670)	2	(5075)	0	(7934)	1	(5757)	0.00	(6296)	0.00001	(10389)
Chaim_Weizmann	4	(2534)	1	(7002)	2	(2031)	1	(5757)	37687.23	(1664)	0.00030	(611)
Edmond_de_Rothschild	1	(5830)	0	(9702)	0	(7934)	0	(9227)	0.00	(6296)	0.00002	(7565)
Aaron_Carter	1	(5830)	2	(5075)	1	(4250)	1	(5757)	0.00	(6296)	0.00002	(7318)
Hilary_Duff	8	(1266)	1	(7002)	2	(2031)	1	(5757)	19537.39	(2535)	0.00005	(4369)
Lindsay_Lohan	8	(1266)	8	(1146)	2	(2031)	3	(1393)	54004.13	(1243)	0.00007	(3549)
Aaron_Ciechanover	2	(4197)	2	(5075)	2	(2031)	2	(3165)	0.00	(6296)	0.00014	(1838)
Avram_Hershko	2	(4197)	2	(5075)	2	(2031)	2	(3165)	0.00	(6296)	0.00014	(1838)
Irwin_Rose	2	(4197)	2	(5075)	2	(2031)	2	(3165)	0.00	(6296)	0.00014	(1838)
Aaron_Copland	18	(372)	10	(783)	3	(854)	4	(163)	164503.16	(407)	0.00024	(878)
Benny_Goodman	8	(1266)	2	(5075)	3	(854)	1	(5757)	4971.69	(4375)	0.00013	(2158)
Emily_Dickinson	9	(1075)	2	(5075)	2	(2031)	2	(3165)	12059.76	(3226)	0.00007	(3657)
George_Gershwin	21	(283)	16	(310)	4	(282)	4	(163)	316303.55	(186)	0.00030	(623)
Leonard_Bernstein	33	(110)	14	(411)	4	(282)	4	(163)	204456.95	(324)	0.00025	(842)
Nadia_Boulanger	17	(423)	8	(1146)	2	(2031)	4	(163)	55452.53	(1219)	0.00013	(2235)
Paul_Bowles	5	(2067)	22	(150)	3	(854)	4	(163)	77735.16	(913)	0.00006	(4074)
Rubin_Goldmark	4	(2534)	1	(7002)	2	(2031)	1	(5757)	3474.69	(4620)	0.00006	(3997)
Samuel_Adler	1	(5830)	1	(7002)	1	(4250)	1	(5757)	147.20	(5707)	0.00004	(5641)
William_Wyler	32	(118)	5	(2240)	5	(10)	2	(3165)	55228.73	(1223)	0.00038	(421)
Aaron_Klug	0	(8670)	2	(5075)	0	(7934)	2	(3165)	0.00	(6296)	0.00001	(10389)
Elisabet_II_del_Regne_Unit	76	(9)	15	(357)	5	(10)	5	(41)	960646.02	(45)	0.00141	(28)
Rosalind_Franklin	5	(2067)	2	(5075)	2	(2031)	2	(3165)	119.41	(5741)	0.00018	(1362)
Aaron_Lennon	0	(8670)	5	(2240)	0	(7934)	1	(5757)	0.00	(6296)	0.00001	(10389)
David_Beckham	7	(1488)	5	(2240)	1	(4250)	1	(5757)	182057.97	(361)	0.00004	(5273)
Jamie_Carragher	1	(5830)	0	(9702)	0	(7934)	0	(9227)	0.00	(6296)	0.00002	(8325)
Shaun_Wright-Phillips	1	(5830)	2	(5075)	0	(7934)	1	(5757)	8.50	(6009)	0.00002	(8343)
Sven-Göran_Eriksson	5	(2067)	0	(9702)	1	(4250)	0	(9227)	0.00	(6296)	0.00004	(5160)
Wayne_Rooney	3	(3222)	2	(5075)	0	(7934)	1	(5757)	7200.42	(3903)	0.00002	(7506)
Abbey_Lincoln	0	(8670)	4	(2906)	0	(7934)	2	(3165)	0.00	(6296)	0.00001	(9104)
Archie_Shepp	3	(3222)	4	(2906)	1	(4250)	2	(3165)	9487.81	(3505)	0.00004	(5326)
Billie_Holiday	10	(936)	7	(1413)	3	(854)	2	(3165)	47607.52	(1387)	0.00011	(2499)
Eric_Dolphy	3	(3222)	3	(3807)	2	(2031)	2	(3165)	1847.26	(4963)	0.00004	(5440)
Stan_Getz	7	(1488)	0	(9702)	2	(2031)	0	(9227)	0.00	(6296)	0.00009	(3046)
Abbie_Hoffman	0	(8670)	1	(7002)	0	(7934)	1	(5757)	0.00	(6296)	0.00001	(9104)
Noam_Chomsky	9	(1075)	3	(3807)	3	(854)	1	(5757)	67359.43	(1039)	0.00019	(1266)
Abd-al-Qàdir_al-Maraghí	0	(8670)	1	(7002)	0	(7934)	1	(5757)	0.00	(6296)	0.00001	(9104)
Tamerlà	7	(1488)	1	(7002)	2	(2031)	1	(5757)	10277.22	(3399)	0.00009	(3003)
Abd_al-Karim_Qasim	4	(2534)	2	(5075)	1	(4250)	1	(5757)	81.70	(5799)	0.00005	(4817)
Mustafà_Barzani	5	(2067)	4	(2906)	1	(4250)	1	(5757)	7492.02	(3869)	0.00008	(3346)
Saddam_Hussein	31	(128)	1	(7002)	3	(854)	1	(5757)	57003.31	(1192)	0.00045	(318)
Abd_al-Rahman_Aref	1	(5830)	4	(2906)	1	(4250)	2	(3165)	34.37	(5907)	0.00002	(7995)
Abd_al-Salam_Aref	3	(3222)	7	(1413)	1	(4250)	2	(3165)	3137.42	(4700)	0.00003	(5901)
Ahmad_Hassan_al-Bakr	2	(4197)	6	(1771)	1	(4250)	2	(3165)	2795.71	(4763)	0.00002	(7278)
Gamal_Abdel_Nasser	13	(649)	5	(2240)	2	(2031)	3	(1393)	142948.61	(479)	0.00037	(443)
Nuri_al-Said	2	(4197)	2	(5075)	1	(4250)	2	(3165)	5.00	(6041)	0.00003	(6855)
Rashid_Ali_Gaylani	3	(3222)	4	(2906)	1	(4250)	2	(3165)	19449.93	(2551)	0.00003	(5892)
Abdalá_Bucaram	4	(2534)	2	(5075)	2	(2031)	2	(3165)	12987.67	(3117)	0.00015	(1642)
Lucio_Gutiérrez	4	(2534)	5	(2240)	2	(2031)	2	(3165)	66644.83	(1047)	0.00017	(1469)
Sixto_Durán_Ballén	4	(2534)	3	(3807)	2	(2031)	2	(3165)	42744.83	(1508)	0.00017	(1434)
Abdel_Halim_Hafez	0	(8670)	2	(5075)	0	(7934)	1	(5757)	0.00	(6296)	0.00001	(10389)
Jay-Z	10	(936)	5	(2240)	2	(2031)	2	(3165)	64278.64	(1071)	0.00012	(2244)
Abdelaziz_Bouteflika	2	(4197)	3	(3807)	2	(2031)	1	(5757)	50521.62	(1319)	0.00006	(4102)
Ahmed_Ben_Bella	3	(3222)	0	(9702)	1	(4250)	0	(9227)	0.00	(6296)	0.00006	(4216)
Bill_Clinton	39	(70)	16	(310)	4	(282)	3	(1393)	1756942.05	(11)	0.00136	(31)
Chadli_Bendjedid	1	(5830)	0	(9702)	1	(4250)	0	(9227)	0.00	(6296)	0.00003	(6018)
Abdiqassim_Salad_Hassan	3	(3222)	2	(5075)	1	(4250)	1	(5757)	26010.33	(2126)	0.00006	(4157)
Hussein_Mohamed_Farrah	4	(2534)	3	(3807)	1	(4250)	2	(3165)	79061.33	(891)	0.00007	(3631)
Siad_Barre	14	(573)	0	(9702)	1	(4250)	0	(9227)	0.00	(6296)	0.00023	(956)
Abdirashid_Ali_Shermarke	4	(2534)	2	(5075)	1	(4250)	1	(5757)	3.50	(6083)	0.00012	(2353)
Aden_Abdullah_Osman_Daar	3	(3222)	1	(7002)	1	(4250)	1	(5757)	0.00	(6296)	0.00009	(3100)
Abdirizak_Haji_Hussein	1	(5830)	4	(2906)	1	(4250)	1	(5757)	38.00	(5891)	0.00006	(3929)
Abdullahi_Yusuf_Ahmed	11	(815)	2	(5075)	1	(4250)	1	(5757)	58.00	(5846)	0.00011	(2503)
Abdul-Khalim_Sadulàiev	3	(3222)	3	(3807)	2	(2031)	2	(3165)	1181.36	(5141)	0.00007	(3599)
Akhmat_Kadírov	5	(2067)	2	(5075)	2	(2031)	2	(3165)	42701.38	(1512)	0.00011	(2575)
Aslan_Maskhàdov	4	(2534)	5	(2240)	2	(2031)	2	(3165)	11447.64	(3285)	0.00013	(2152)
Dokka_Umarov	2	(4197)	2	(5075)	2	(2031)	2	(3165)	0.00	(6296)	0.00005	(4739)
Abdul_Hamid_al-Bakkoush	2	(4197)	2	(5075)	1	(4250)	1	(5757)	16.00	(5955)	0.00015	(1710)
Abdul_Qadir_al-Badri	2	(4197)	2	(5075)	1	(4250)	1	(5757)	28.00	(5917)	0.00014	(2068)
Wanis_al-Qaddafi	1	(5830)	1	(7002)	1	(4250)	1	(5757)	0.00	(6296)	0.00008	(3290)
