Mwai_Kibaki	Daniel_Moi
Scarlett_Johansson	Rachel_Weisz
Scarlett_Johansson	David_Bowie
Pierre_Trudeau	Richard_Nixon
Pierre_Trudeau	Lester_Pearson
Doris_Lessing	Theodor_Mommsen
Richard_Strauss	Romain_Rolland
Richard_Strauss	Claude_Debussy
Franciszek_Józef_I	Wilhelm_I_Hohenzollern
Franciszek_Józef_I	Franciszek_I_Lotaryński
Franciszek_Józef_I	Leopold_II_Habsburg
Franciszek_Józef_I	Otto_von_Bismarck
Franciszek_Józef_I	Maria_Teresa_Habsburg
Franciszek_Józef_I	Karol_III_Hiszpański
Franciszek_Józef_I	Karol_I_Habsburg
Franciszek_Józef_I	Franciszek_II_Habsburg
Cameron_Diaz	Justin_Timberlake
Cameron_Diaz	Leonardo_DiCaprio
Cameron_Diaz	Tom_Cruise
Cameron_Diaz	Snoop_Dogg
Margaret_Thatcher	Gaston_Thorn
Margaret_Thatcher	James_Callaghan
Margaret_Thatcher	John_Major
Margaret_Thatcher	Pierre_Trudeau
Margaret_Thatcher	Augusto_Pinochet
Margaret_Thatcher	Michaił_Gorbaczow
Margaret_Thatcher	Neville_Chamberlain
Margaret_Thatcher	Morrissey
Margaret_Thatcher	Brian_Mulroney
Margaret_Thatcher	Ronald_Reagan
Margaret_Thatcher	Tony_Blair
Margaret_Thatcher	François_Mitterrand
Margaret_Thatcher	Alec_Douglas-Home
Margaret_Thatcher	Helmut_Kohl
Cate_Blanchett	Renée_Zellweger
Cate_Blanchett	Kate_Winslet
Cate_Blanchett	Rachel_Weisz
Cate_Blanchett	Nicole_Kidman
Cate_Blanchett	Hilary_Swank
Cate_Blanchett	Jennifer_Hudson
Cate_Blanchett	Judi_Dench
Cate_Blanchett	Annette_Bening
Cate_Blanchett	Katharine_Hepburn
Ralph_Vaughan_Williams	Bertrand_Russell
Jennifer_Jones	Humphrey_Bogart
Jennifer_Jones	Gregory_Peck
Jennifer_Jones	Ingrid_Bergman
Jennifer_Jones	Laurence_Olivier
Jennifer_Jones	William_Holden
Alexander_Graham_Bell	Antonio_Meucci
Ice_Cube	Dr._Dre
Elizabeth_Blackburn	Carol_Greider
Juanes	Nelly_Furtado
Jan_Chryzostom	Bazyli_Wielki
Anne-Sophie_Mutter	Krzysztof_Penderecki
Anne-Sophie_Mutter	Herbert_von_Karajan
Anne-Sophie_Mutter	Witold_Lutosławski
Red_Hot_Chili_Peppers	Joe_Satriani
Red_Hot_Chili_Peppers	John_Frusciante
Red_Hot_Chili_Peppers	Snoop_Dogg
George_Orwell	Józef_Stalin
George_Orwell	Władysław_Reymont
Jerzy_IV_Hanowerski	Walter_Scott
Jerzy_IV_Hanowerski	Wilhelm_IV_Hanowerski
Jerzy_IV_Hanowerski	Peter_Ustinov
Jerzy_IV_Hanowerski	William_Pitt_Młodszy
Jerzy_IV_Hanowerski	Jerzy_III_Hanowerski
Jerzy_IV_Hanowerski	Hugh_Laurie
Jerzy_IV_Hanowerski	Napoleon_Bonaparte
Lucian_Freud	Roman_Abramowicz
Gordon_Brown	Elżbieta_II
Gordon_Brown	David_Cameron
Gordon_Brown	Tony_Blair
Samantha_Stosur	Jelena_Diemientjewa
Samantha_Stosur	Daniela_Hantuchová
Samantha_Stosur	Maria_Kirilenko
Samantha_Stosur	Kim_Clijsters
Samantha_Stosur	Martina_Navrátilová
Samantha_Stosur	Caroline_Wozniacki
Samantha_Stosur	Serena_Williams
Samantha_Stosur	Patty_Schnyder
Samantha_Stosur	Justine_Henin
Samantha_Stosur	Amélie_Mauresmo
Lars_Løkke_Rasmussen	Anders_Fogh_Rasmussen
Lars_Løkke_Rasmussen	Małgorzata_II
Hadrian	Trajan
Hadrian	Antoninus_Pius
Elvis_Presley	Richard_Nixon
Du_Fu	Li_Bai
Michaëlle_Jean	François_Duvalier
Michaëlle_Jean	Paul_Martin
Auguste_Rodin	Rainer_Maria_Rilke
Lady_Gaga	Beyoncé_Knowles
Lady_Gaga	Beyoncé_Knowles
Lady_Gaga	Cher
Lady_Gaga	Usher
Lady_Gaga	Freddie_Mercury
Lady_Gaga	Brian_May
Lady_Gaga	Bruce_Springsteen
Lady_Gaga	Rihanna
Lady_Gaga	Sting
Lady_Gaga	Lady_Gaga
Lady_Gaga	Katy_Perry
Lady_Gaga	Elton_John
Lady_Gaga	Eminem
Lady_Gaga	Elvis_Presley
Madonna_(piosenkarka)	Britney_Spears
Madonna_(piosenkarka)	Timbaland
Madonna_(piosenkarka)	Janet_Jackson
Madonna_(piosenkarka)	Ella_Fitzgerald
Madonna_(piosenkarka)	Warren_Beatty
Madonna_(piosenkarka)	Prince
Madonna_(piosenkarka)	Nelly_Furtado
Madonna_(piosenkarka)	Eva_Perón
Madonna_(piosenkarka)	Lil_Wayne
Madonna_(piosenkarka)	Sting
Madonna_(piosenkarka)	Pink
Madonna_(piosenkarka)	J._K._Rowling
Madonna_(piosenkarka)	Kylie_Minogue
Madonna_(piosenkarka)	Céline_Dion
Madonna_(piosenkarka)	Jan_Paweł_II
Franklin_Delano_Roosevelt	Herbert_Hoover
Franklin_Delano_Roosevelt	Theodore_Roosevelt
Franklin_Delano_Roosevelt	Friedrich_Hayek
Franklin_Delano_Roosevelt	Harry_Truman
Franklin_Delano_Roosevelt	Milton_Friedman
Franklin_Delano_Roosevelt	Ludwig_von_Mises
Franklin_Delano_Roosevelt	Eleanor_Roosevelt
Pius_IV	Pius_V
Ezer_Weizman	Mosze_Kacaw
Ryszard_III_York	Robert_Downey_Jr.
Ryszard_III_York	Henryk_VII_Tudor
Ryszard_III_York	Thomas_More
Ryszard_III_York	Orson_Welles
Ryszard_III_York	Ian_McKellen
Ryszard_III_York	William_Szekspir
Ryszard_III_York	Kristin_Scott_Thomas
Ryszard_III_York	Maggie_Smith
Ryszard_III_York	Annette_Bening
Ryszard_III_York	Edward_V_York
Robbie_Williams	Nicole_Kidman
Robbie_Williams	Kylie_Minogue
Robbie_Williams	Robin_Williams
Demokryt	Arystoteles
Demokryt	Galileusz
Demokryt	Epikur
Demokryt	Platon
Emma_Thompson	Jane_Austen
Emma_Thompson	Susan_Sarandon
Emma_Thompson	Kenneth_Branagh
Emma_Thompson	Holly_Hunter
Emma_Thompson	Jodie_Foster
Jimmy_Carter	Leonid_Breżniew
Jimmy_Carter	George_H._W._Bush
Jimmy_Carter	Bill_Clinton
Jimmy_Carter	Ronald_Reagan
Jimmy_Carter	Gerald_Ford
Jimmy_Carter	Bob_Dole
Jimmy_Carter	Walter_Mondale
Jimmy_Carter	Rosalynn_Carter
Jimmy_Carter	Lyndon_B._Johnson
Amelia_Earhart	Eleanor_Roosevelt
Quentin_Tarantino	Diane_Kruger
Quentin_Tarantino	Uma_Thurman
Quentin_Tarantino	Sydney_Pollack
Quentin_Tarantino	Terry_Gilliam
Kai_M._Siegbahn	Nicolaas_Bloembergen
Kai_M._Siegbahn	Karl_Manne_Georg_Siegbahn
Kai_M._Siegbahn	Arthur_Leonard_Schawlow
Muammar_al-Kaddafi	Gamal_Abdel_Naser
Muammar_al-Kaddafi	Mahomet
Milij_Bałakiriew	Nikołaj_Rimski-Korsakow
Milij_Bałakiriew	Aleksandr_Borodin
Claire_Danes	Leonardo_DiCaprio
Vasco_da_Gama	Bartolomeu_Dias
Gore_Vidal	Billy_Kid
Gore_Vidal	Federico_Fellini
Lech_Wałęsa	Lech_Kaczyński
Lech_Wałęsa	George_H._W._Bush
Lech_Wałęsa	Wojciech_Jaruzelski
Lech_Wałęsa	Nicolas_Sarkozy
Lech_Wałęsa	Aleksander_Kwaśniewski
Ngô_Đình_Diệm	Hồ_Chí_Minh
Ngô_Đình_Diệm	Bảo_Đại
U_Thant	Dag_Hammarskjöld
U_Thant	Kurt_Waldheim
Roy_Hodgson	Berti_Vogts
Howard_Webb	Lech_Kaczyński
Johannes_Rau	Gustav_Heinemann
Johannes_Rau	Horst_Köhler
Johannes_Rau	Roman_Herzog
John_Paul_Jones_(muzyk)	Paul_McCartney
John_Paul_Jones_(muzyk)	Peter_Gabriel
John_Paul_Jones_(muzyk)	Robert_Plant
Marlon_Brando	Paul_Newman
Marlon_Brando	Robert_De_Niro
Konstantyn_I_Grecki	Aleksander_Grecki
Konstantyn_I_Grecki	Jerzy_I_Grecki
Konstantyn_I_Grecki	Jerzy_II_Grecki
Walther_Model	Erich_von_Manstein
Wayne_Bridge	José_Mourinho
Wayne_Bridge	Ashley_Cole
Wayne_Bridge	Sven-Göran_Eriksson
Wayne_Bridge	Joe_Cole
Arthur_C._Clarke	Jurij_Gagarin
Arthur_C._Clarke	Gene_Roddenberry
Arthur_C._Clarke	Jacques-Yves_Cousteau
Paweł_z_Tarsu	Jezus_Chrystus
Paweł_z_Tarsu	Neron
Ken_Thompson	Dennis_Ritchie
Eleanor_Roosevelt	Theodore_Roosevelt
Jim_Morrison	Val_Kilmer
Jim_Morrison	Molier
Friedrich_Schiller	Adam_Mickiewicz
Friedrich_Schiller	Thomas_Mann
Friedrich_Schiller	Franz_Schubert
Friedrich_Schiller	Giuseppe_Verdi
Friedrich_Schiller	Tadeusz_Kościuszko
Edmund_Burke	Samuel_Johnson
Edmund_Burke	Benjamin_Franklin
Edmund_Burke	Thomas_Paine
Hirohito	Ronald_Reagan
Pervez_Musharraf	Benazir_Bhutto
Pepin_Krótki	Karol_Wielki
Pepin_Krótki	Karol_Młot
Aram_Chaczaturian	Benny_Goodman
Alfred_Nobel	Victor_Hugo
Johannes_Kepler	Karl_Popper
Johannes_Kepler	Carl_Sagan
Johannes_Kepler	Galileusz
Johannes_Kepler	Kartezjusz
Johannes_Kepler	Tycho_Brahe
Johannes_Kepler	Charles_Sanders_Peirce
Johannes_Kepler	Rudolf_II_Habsburg
Gerhard_Schröder	Angela_Merkel
Gerhard_Schröder	George_W._Bush
Gerhard_Schröder	Helmut_Kohl
Anthony_Minghella	Gordon_Brown
Anthony_Minghella	Ralph_Fiennes
Anthony_Minghella	Kevin_Spacey
Anthony_Minghella	Sydney_Pollack
Anthony_Minghella	Jude_Law
Anthony_Minghella	Gwyneth_Paltrow
Henryk_I_Kardynał	Grzegorz_XIII
Emir_Kusturica	Johnny_Depp
Emir_Kusturica	Faye_Dunaway
Heikki_Kovalainen	Jenson_Button
Heikki_Kovalainen	Fernando_Alonso
Jacques_Prévert	Eugène_Ionesco
Jacques_Prévert	Hanns_Eisler
Jacques_Prévert	Yves_Montand
Jacques_Prévert	Édith_Piaf
Antonio_López_de_Santa_Anna	Benito_Juárez
Gene_Simmons	Cher
Douglas_MacArthur	Hirohito
Douglas_MacArthur	Dwight_Eisenhower
Douglas_MacArthur	Gregory_Peck
Douglas_MacArthur	Czang_Kaj-szek
Douglas_MacArthur	George_Washington
Aristide_Briand	Raymond_Poincaré
Jennifer_Hudson	Rachel_Weisz
Jennifer_Hudson	Cate_Blanchett
Jennifer_Hudson	Tilda_Swinton
Fryderyk_VIII	Chrystian_X
Fryderyk_VIII	Fryderyk_V_Oldenburg
Fryderyk_VIII	Chrystian_IX
Diana_Ross	Billie_Holiday
Diana_Ross	Steve_Martin
Diana_Ross	Janet_Jackson
Diana_Ross	Vanessa_L._Williams
Diana_Ross	Julio_Iglesias
Diana_Ross	Gregory_Peck
Diana_Ross	Stevie_Wonder
Diana_Ross	Michael_Jackson
Diana_Ross	Marvin_Gaye
Diana_Ross	Martin_Scorsese
Diana_Ross	Lionel_Richie
Marion_Cotillard	Kate_Winslet
Marion_Cotillard	Liv_Ullmann
Marion_Cotillard	Nicole_Kidman
Marion_Cotillard	Sophia_Loren
