Mwai_Kibaki	Daniel_Moi
Marion_Cotillard	Russell_Crowe
Marion_Cotillard	Leonardo_DiCaprio
Marion_Cotillard	Édith_Piaf
Marion_Cotillard	Juliette_Binoche
Marion_Cotillard	Judi_Dench
Marion_Cotillard	Kate_Hudson
Marion_Cotillard	Penélope_Cruz
Marion_Cotillard	Helen_Mirren
Marion_Cotillard	Meryl_Streep
Adolfo_Suárez	Jan_Karol_I_Hiszpański
Armando_Guebuza	Joaquim_Chissano
Elżbieta_Romanowa	Piotr_III_Romanow
Elżbieta_Romanowa	Piotr_I_Wielki
Elżbieta_Romanowa	Katarzyna_I
Elżbieta_Romanowa	Iwan_VI_Romanow
Elżbieta_Batory	Julio_Cortázar
Sam_Houston	Andrew_Jackson
Jerzy_I_Hanowerski	Georg_Friedrich_Händel
Jerzy_I_Hanowerski	Jerzy_II_Hanowerski
Jerzy_I_Hanowerski	William_Makepeace_Thackeray
Jerzy_I_Hanowerski	Gottfried_Wilhelm_Leibniz
Jerzy_I_Hanowerski	Anna_Stuart
Milla_Jovovich	Luc_Besson
Lil_Wayne	Nicki_Minaj
Lil_Wayne	Eminem
Roald_Amundsen	Robert_Falcon_Scott
Klaudiusz_Ptolemeusz	Eratostenes
Klaudiusz_Ptolemeusz	Mikołaj_Kopernik
Josh_Hartnett	Jamie_Lee_Curtis
Josh_Hartnett	Gisele_Bündchen
Josh_Hartnett	Penélope_Cruz
Josh_Hartnett	Scarlett_Johansson
George_Michael	Brooke_Shields
George_Michael	Tony_Blair
George_Michael	Whitney_Houston
George_Michael	Sting
George_Michael	Elton_John
George_Michael	George_W._Bush
Aleksander_Kwaśniewski	Lech_Kaczyński
Aleksander_Kwaśniewski	Vaira_Vīķe-Freiberga
Aleksander_Kwaśniewski	Tony_Blair
Aleksander_Kwaśniewski	Jacques_Chirac
Aleksander_Kwaśniewski	Jerzy_Buzek
Aleksander_Kwaśniewski	Lech_Wałęsa
Aleksander_Kwaśniewski	George_W._Bush
Aleksander_Kwaśniewski	Valdas_Adamkus
Leon_XII	Pius_VIII
Steffi_Graf	Venus_Williams
Steffi_Graf	Chris_Evert
Steffi_Graf	Andre_Agassi
Steffi_Graf	Martina_Navrátilová
Steffi_Graf	Patty_Schnyder
Steffi_Graf	Justine_Henin
Martin_Chalfie	Osamu_Shimomura
Leon_XI	Klemens_VIII
Katharine_Hepburn	Humphrey_Bogart
Katharine_Hepburn	Jon_Voight
Katharine_Hepburn	Drew_Barrymore
Katharine_Hepburn	Claudette_Colbert
Katharine_Hepburn	Ingrid_Bergman
Katharine_Hepburn	Howard_Hughes
Katharine_Hepburn	Doris_Day
Katharine_Hepburn	Vivien_Leigh
Katharine_Hepburn	Maggie_Smith
Katharine_Hepburn	Bette_Davis
Katharine_Hepburn	Spencer_Tracy
Katharine_Hepburn	Ginger_Rogers
Katharine_Hepburn	Elizabeth_Taylor
Katharine_Hepburn	Faye_Dunaway
Katharine_Hepburn	Laurence_Olivier
Katharine_Hepburn	Audrey_Hepburn
Katharine_Hepburn	Meryl_Streep
Craig_Bellamy	Bobby_Robson
Craig_Bellamy	Graeme_Souness
Craig_Bellamy	Rafael_Benítez
Craig_Bellamy	Alan_Shearer
Craig_Bellamy	Peter_Crouch
Albert_II_Koburg	Baldwin_I_Koburg
Albert_II_Koburg	Leopold_III_Koburg
Albert_II_Koburg	Laura_Bush
Albert_II_Koburg	Leopold_I_Koburg
Albert_II_Koburg	George_W._Bush
Albert_II_Koburg	Albert_I_Koburg
K.d._lang	Elton_John
Winston_Churchill	John_Maynard_Keynes
Winston_Churchill	Herbert_Henry_Asquith
Winston_Churchill	Neville_Chamberlain
Winston_Churchill	Lester_Pearson
Winston_Churchill	Anthony_Eden
Winston_Churchill	Charles_de_Gaulle
Winston_Churchill	Stanley_Baldwin
Winston_Churchill	Clement_Richard_Attlee
Winston_Churchill	Benito_Mussolini
Winston_Churchill	Harold_Macmillan
Winston_Churchill	Mark_Twain
Winston_Churchill	Ramsay_MacDonald
Winston_Churchill	Czang_Kaj-szek
George_Berkeley	David_Hume
George_Berkeley	John_Locke
George_Berkeley	Kartezjusz
Théodore_Géricault	Eugène_Delacroix
Franklin_Pierce	Millard_Fillmore
Hillary_Rodham_Clinton	Condoleezza_Rice
Hillary_Rodham_Clinton	Laura_Bush
Warren_Beatty	Barbra_Streisand
Warren_Beatty	Vanessa_Redgrave
Warren_Beatty	Natalie_Wood
Warren_Beatty	Maria_Callas
Warren_Beatty	Isabelle_Adjani
Warren_Beatty	Liv_Ullmann
Warren_Beatty	Cher
Warren_Beatty	Vivien_Leigh
Warren_Beatty	Shirley_MacLaine
Warren_Beatty	Brigitte_Bardot
Warren_Beatty	Joni_Mitchell
Warren_Beatty	Julie_Christie
Warren_Beatty	Jacqueline_Kennedy_Onassis
Warren_Beatty	Jane_Fonda
Warren_Beatty	Diane_Keaton
Warren_Beatty	Faye_Dunaway
Warren_Beatty	Catherine_Deneuve
Warren_Beatty	Annette_Bening
Warren_Beatty	Elia_Kazan
Warren_Beatty	Goldie_Hawn
Warren_Beatty	Diana_Ross
Antonio_Salieri	Nikołaj_Rimski-Korsakow
Emmanuel_Eboué	Bacary_Sagna
Emmanuel_Eboué	Kolo_Touré
Emmanuel_Eboué	Garrincha
Emmanuel_Eboué	Samuel_Eto'o
Emmanuel_Eboué	Theo_Walcott
Charles_Darwin	Charles_Babbage
Charles_Darwin	Herbert_Spencer
Charles_Darwin	Thomas_Malthus
Charles_Darwin	Joseph_Hooker
Charles_Darwin	Piotr_Kropotkin
Charles_Darwin	Alfred_Russel_Wallace
Charlize_Theron	Nicole_Kidman
Charlize_Theron	Hilary_Swank
Ségolène_Royal	François_Mitterrand
Tommy_Haas	Pete_Sampras
Tommy_Haas	Robin_Söderling
Tommy_Haas	Guillermo_Cañas
Tommy_Haas	Novak_Đoković
Tommy_Haas	Andy_Roddick
Shirley_MacLaine	Michelle_Pfeiffer
Shirley_MacLaine	Julie_Andrews
Shirley_MacLaine	Marilyn_Monroe
Shirley_MacLaine	Meryl_Streep
Richard_Wright_(muzyk)	David_Gilmour
Richard_Wright_(muzyk)	Syd_Barrett
Marouane_Chamakh	Christophe_Dugarry
Ludwik_XIV	Karol_V_Habsburg
Ludwik_XIV	Maksymilian_II_Habsburg
Ludwik_XIV	Ludwik_XIII
Ludwik_XIV	Filip_II_Habsburg
Ludwik_XIV	Jules_Mazarin
Ludwik_XIV	Ludwik_XV
Ludwik_XIV	Henryk_IV_Burbon
Boudika	Neron
Boudika	Enya
Alfons_XIII_Hiszpański	Alfons_XII_Burbon
Alfons_XIII_Hiszpański	Leopold_II_Habsburg
Alfons_XIII_Hiszpański	Alfons_XII_Burbon
Alfons_XIII_Hiszpański	Jan_Karol_I_Hiszpański
Sandra_Bullock	Kate_Winslet
Sandra_Bullock	Hugh_Grant
Sandra_Bullock	Harper_Lee
Sandra_Bullock	Keanu_Reeves
Sandra_Bullock	Halle_Berry
Sandra_Bullock	Natalie_Portman
Sandra_Bullock	Meryl_Streep
Jeff_Bridges	Sharon_Stone
Jeff_Bridges	Arnold_Schwarzenegger
Jeff_Bridges	Colin_Firth
Jeff_Bridges	Farrah_Fawcett
Jeff_Bridges	Kim_Basinger
Jeff_Bridges	Sean_Penn
Kirk_Douglas	George_Patton
Kirk_Douglas	Ronald_Reagan
Kirk_Douglas	Farrah_Fawcett
Kirk_Douglas	Jimmy_Carter
Karl_Dönitz	Adolf_Hitler
Karl_Dönitz	Hermann_Göring
Fernando_González	Tommy_Haas
Fernando_González	Tommy_Robredo
Holly_Hunter	Frances_McDormand
Holly_Hunter	Emma_Thompson
Holly_Hunter	Anna_Paquin
Holly_Hunter	Sigourney_Weaver
Holly_Hunter	Susan_Sarandon
Holly_Hunter	Jessica_Lange
Holly_Hunter	Mary_Steenburgen
Holly_Hunter	Sam_Neill
Holly_Hunter	Jodie_Foster
Holly_Hunter	Cameron_Diaz
Holly_Hunter	Audrey_Hepburn
Jürgen_Melzer	Novak_Đoković
Jürgen_Melzer	Juan_Martín_del_Potro
Jürgen_Melzer	Lleyton_Hewitt
Gieorgij_Żukow	Borys_Jelcyn
Gieorgij_Żukow	Kliment_Woroszyłow
Gieorgij_Żukow	Dwight_Eisenhower
Gieorgij_Żukow	Wiaczesław_Mołotow
Gieorgij_Żukow	Bernard_Law_Montgomery
Gieorgij_Żukow	Michaił_Kalinin
Heraklit	Platon
Ernst_Theodor_Amadeus_Hoffmann	Howard_Phillips_Lovecraft
Ernst_Theodor_Amadeus_Hoffmann	Jacques_Offenbach
Ernst_Theodor_Amadeus_Hoffmann	Edgar_Allan_Poe
Ernst_Theodor_Amadeus_Hoffmann	Piotr_Czajkowski
Bryan_Adams	Paco_de_Lucía
Bryan_Adams	Aretha_Franklin
Bryan_Adams	Sting
Ashley_Cole	William_Gallas
Rainier_III_Grimaldi	Grace_Grimaldi
Rainier_III_Grimaldi	Grace_Grimaldi
Rainier_III_Grimaldi	Albert_II_Grimaldi
Jan_Paweł_II	François_Fillon
Jan_Paweł_II	Jan_Paweł_I
Jan_Paweł_II	Giorgio_Napolitano
Jan_Paweł_II	Felipe_Calderón
Jan_Paweł_II	Bamir_Topi
Jan_Paweł_II	Robert_Mugabe
Jan_Paweł_II	Benedykt_XVI
Jan_Paweł_II	Silvio_Berlusconi
Jan_Paweł_II	Bronisław_Komorowski
Jan_Paweł_II	Lech_Kaczyński
Jan_Paweł_II	Karol_I_Habsburg
Jurij_Gagarin	Gamal_Abdel_Naser
Jurij_Gagarin	Anwar_Sadat
Jurij_Gagarin	Jean-Michel_Jarre
Kurt_Georg_Kiesinger	Willy_Brandt
Kurt_Georg_Kiesinger	Ludwig_Erhard
Guy_Verhofstadt	Yves_Leterme
Talcott_Parsons	Émile_Durkheim
Kate_Moss	Jimi_Hendrix
Kate_Moss	Johnny_Depp
Kate_Moss	Yves_Saint-Laurent
Kate_Moss	Coco_Chanel
Kate_Moss	Elton_John
David_Bowie	Iggy_Pop
David_Bowie	David_Gilmour
David_Bowie	Annie_Lennox
David_Bowie	Lou_Reed
David_Bowie	Brian_Eno
David_Bowie	Andy_Warhol
David_Bowie	Mick_Jagger
Marlene_Dietrich	David_Bowie
Marlene_Dietrich	Gary_Cooper
Marlene_Dietrich	Klaus_Wowereit
Dan_Quayle	George_H._W._Bush
Dan_Quayle	Al_Gore
Eva_Green	Nicole_Kidman
Eva_Green	Bernardo_Bertolucci
Louis_de_Funès	Molier
Louis_de_Funès	Guy_de_Maupassant
Louis_de_Funès	Yves_Montand
Catherine_Ashton	Peter_Mandelson
Catherine_Ashton	Gordon_Brown
Hugo_Sánchez	Pelé
Hugo_Sánchez	Sven-Göran_Eriksson
Amélie_Mauresmo	Kim_Clijsters
Amélie_Mauresmo	Venus_Williams
Amélie_Mauresmo	Zheng_Jie
Amélie_Mauresmo	Serena_Williams
Amélie_Mauresmo	Swietłana_Kuzniecowa
Amélie_Mauresmo	Steffi_Graf
Amélie_Mauresmo	Jelena_Diemientjewa
Amélie_Mauresmo	Martina_Navrátilová
Amélie_Mauresmo	Dinara_Safina
Amélie_Mauresmo	Patty_Schnyder
Amélie_Mauresmo	Nadieżda_Pietrowa
Amélie_Mauresmo	Justine_Henin
Bonnie_Wright	Emma_Watson
Bonnie_Wright	Agatha_Christie
Miley_Cyrus	Dolly_Parton
The_Edge	Adam_Clayton
The_Edge	Brian_Eno
The_Edge	Tina_Turner
The_Edge	Bono
Pius_V	Klemens_XI
Pius_V	Grzegorz_XIII
Pius_V	Pius_IV
Pius_V	Klemens_X
Fernando_Pessoa	José_Saramago
Alberto_Aquilani	Fabio_Capello
Alberto_Aquilani	Sami_Hyypiä
Alberto_Aquilani	Alessandro_Del_Piero
Ennio_Morricone	Sergio_Leone
Ennio_Morricone	Bernardo_Bertolucci
Franjo_Tuđman	Stjepan_Mesić
Jan_Paweł_I	Jan_Paweł_II
Jan_Paweł_I	Paweł_VI
Jan_Paweł_I	Jan_XXIII
Edward_II	Edward_III
Edward_II	Edward_I_Długonogi
Paweł_I_Romanow	Piotr_III_Romanow
Paweł_I_Romanow	Aleksander_I_Romanow
Paweł_I_Romanow	Katarzyna_II_Wielka
David_Strathairn	J._Robert_Oppenheimer
Jan_Kalwin	John_Knox
Jacques-René_Hébert	Jean_Paul_Marat
Jacques-René_Hébert	Georges_Danton
Antonio_Meucci	Alexander_Graham_Bell
Aleksandr_Borodin	Nikołaj_Rimski-Korsakow
Aleksandr_Borodin	Michaił_Glinka
Aleksandr_Borodin	Piotr_Czajkowski
Raymond_Poincaré	Georges_Clemenceau
James_Buchanan_(prezydent_USA)	Franklin_Pierce
James_Buchanan_(prezydent_USA)	Abraham_Lincoln
Elżbieta_II	Maria_Teck
Elżbieta_II	John_Howard
Elżbieta_II	Jerzy_V
Elżbieta_II	Nelson_Mandela
Elżbieta_II	Alex_Ferguson
Elżbieta_II	Paul_McCartney
Elżbieta_II	Pierre_Trudeau
Elżbieta_II	Mary_Robinson
Elżbieta_II	Wiktoria_Hanowerska
Elżbieta_II	Neville_Chamberlain
Elżbieta_II	Edward_Heath
Elżbieta_II	Michael_Caine
Elżbieta_II	Michelle_Obama
Elżbieta_II	Jerzy_VI_Windsor
Elżbieta_II	Georges_Pompidou
Elżbieta_II	Margaret_Thatcher
Elżbieta_II	Anthony_Eden
Elżbieta_II	Mary_McAleese
Elżbieta_II	Patrick_Stewart
Elżbieta_II	Elizabeth_Taylor
Elżbieta_II	Anthony_Hopkins
Elżbieta_II	Julius_Nyerere
Elżbieta_II	Jerzy_VI_Windsor
Elżbieta_II	Elton_John
Elżbieta_II	Julie_Andrews
Elżbieta_II	George_H._W._Bush
Elżbieta_II	Hastings_Kamuzu_Banda
Elżbieta_II	Bhumibol_Adulyadej
Elżbieta_II	Anna_Stuart
Elżbieta_II	Judi_Dench
Elżbieta_II	Harold_Macmillan
Elżbieta_II	Eric_Clapton
Elżbieta_II	Kwame_Nkrumah
Elżbieta_II	Helen_Mirren
Sherilyn_Fenn	Elizabeth_Taylor
Sherilyn_Fenn	David_Lynch
Wilhelm_Pieck	Walter_Ulbricht
Sokrates	Platon
Sokrates	Jacques-Louis_David
Sokrates	Arystoteles
Sokrates	Alkibiades
Sokrates	Arystofanes
Sokrates	Ksenofont
Samuel_Johnson	Edmund_Burke
Edvard_Munch	Vincent_van_Gogh
Edvard_Munch	Paul_Cézanne
Edvard_Munch	Paul_Gauguin
Micheil_Saakaszwili	Lech_Kaczyński
Andrew_Jackson	John_Quincy_Adams
Andrew_Jackson	Martin_Van_Buren
Andrew_Jackson	James_Monroe
Andrew_Jackson	John_Adams
Recep_Tayyip_Erdoğan	Abdullah_Gül
Brad_Pitt	Leonardo_DiCaprio
Brad_Pitt	Susan_Sarandon
Brad_Pitt	Jennifer_Aniston
Brad_Pitt	Angelina_Jolie
Brad_Pitt	Gwyneth_Paltrow
Ben_Jonson	Arystofanes
Ben_Jonson	William_Szekspir
Alkibiades	Platon
Alkibiades	Sokrates
Alkibiades	Tukidydes
Alkibiades	Perykles
Alkibiades	Plutarch
Alkibiades	Ksenofont
Francisco_Goya	Galileusz
Karol_I_Stuart	Oliver_Cromwell
Karol_I_Stuart	Maria_I_Stuart
Karol_I_Stuart	Fryderyk_II_Oldenburg
Karol_I_Stuart	Jakub_I_Stuart
Karol_I_Stuart	Jakub_II_Stuart
Karol_I_Stuart	Karol_II_Stuart
Girolamo_Savonarola	Aleksander_VI
Girolamo_Savonarola	Leon_X
Girolamo_Savonarola	Niccolò_Machiavelli
Józef_II_Habsburg	Franciszek_I_Lotaryński
Józef_II_Habsburg	Pius_VI
Józef_II_Habsburg	Leopold_I_Habsburg
Józef_II_Habsburg	Ferdynand_III_Habsburg
Józef_II_Habsburg	Wolfgang_Amadeusz_Mozart
Józef_II_Habsburg	Benedykt_XIV
Józef_II_Habsburg	Karol_VI_Habsburg
Józef_II_Habsburg	Leopold_II_Habsburg
Józef_II_Habsburg	Maria_Teresa_Habsburg
Józef_II_Habsburg	Antonio_Salieri
Les_Paul	John_Mayer
Les_Paul	Joe_Satriani
Les_Paul	The_Edge
Les_Paul	Slash
François_Bayrou	Ségolène_Royal
Juan_Carlos_Ferrero	David_Ferrer
