node	degree	degree_ranking	k	k_ranking	betweeness	betweeness_ranking	closeness	closeness_ranking	
Burma	5	144	3	145	0.03	116	0.4222222222	161
Cuba	75	64	19	70	0.29	86	0.5121293801	70
Iceland	133	50	16	75	4.86	56	0.5039787798	76
Cayman_Islands	1	178	1	171	0.00	141	0.4470588235	139
Chad	4	152	4	129	0.00	141	0.4298642534	156
Congo	7	135	4	129	0.19	90	0.4679802956	115
Fiji	1	178	1	171	0.00	141	0.4059829060	171
Nepal	11	122	6	108	0.15	95	0.4668304668	118
North_Korea	16	104	8	94	0.45	82	0.4418604651	149
Sudan	11	122	6	108	0.01	128	0.4408352668	153
Zambia	24	93	11	86	6.21	52	0.4986876640	79
Colombia	55	73	20	61	0.30	84	0.5219780220	61
Costa_Rica	29	86	9	90	0.00	137	0.4773869347	97
Côte_dIvoire	7	135	3	145	0.00	141	0.4634146341	123
Dominican_Republic	34	84	7	105	0.10	101	0.4611650485	126
Greenland	18	100	6	108	0.09	103	0.4231625835	159
Djibouti	2	170	2	155	0.00	141	0.4157549234	164
Puerto_Rico	14	110	6	108	0.03	114	0.4702970297	109
Iraq	19	98	8	94	7.39	50	0.4691358025	112
Tunisia	41	79	19	70	0.23	88	0.5026455026	77
El_Salvador	17	103	5	119	0.00	141	0.4589371981	130
Equatorial_Guinea	3	162	2	155	0.00	141	0.3933747412	182
Eritrea	4	152	2	155	0.00	141	0.4000000000	175
Ethiopia	13	115	8	94	0.00	140	0.4810126582	94
Tanzania	21	95	7	105	0.00	141	0.4761904762	99
Haiti	14	110	2	155	0.00	141	0.4578313253	135
Gabon	2	170	1	171	0.00	141	0.4016913319	174
Niger	4	152	3	145	0.06	110	0.3974895397	177
Grenada	1	178	1	171	0.00	141	0.3966597077	178
Guatemala	26	89	8	94	0.02	119	0.4702970297	109
Guinea	1	178	1	171	0.00	141	0.4470588235	139
Guinea-Bissau	3	162	1	171	0.00	141	0.3584905660	190
Trinidad_and_Tobago	9	129	2	155	0.07	108	0.4491725768	137
Guyana	4	152	2	155	0.00	141	0.4481132075	138
Honduras	19	98	8	94	0.04	112	0.4822335025	92
Hong_Kong	2	170	2	155	0.00	141	0.3667953668	189
Vietnam	53	74	14	78	34.55	28	0.5053191489	73
Uganda	8	133	5	119	0.00	133	0.4645476773	121
Oman	5	144	4	129	0.08	107	0.4051172708	173
Jamaica	18	100	5	119	0.00	141	0.4738154613	105
Kenya	15	105	6	108	0.00	141	0.4810126582	94
Kosovo	14	110	8	94	0.10	100	0.4822335025	92
Kyrgyzstan	13	115	7	105	0.01	125	0.4691358025	112
Laos	6	139	5	119	0.19	91	0.4656862745	120
Lesotho	2	170	1	171	0.00	141	0.4470588235	139
Liberia	5	144	1	171	0.00	141	0.4470588235	139
Madagascar	6	139	5	119	0.00	135	0.4750000000	100
Malawi	3	162	3	145	0.00	139	0.4203539823	162
Maldives	1	178	1	171	0.00	141	0.3725490196	185
Malta	39	80	25	1	0.06	109	0.5277777778	56
Marshall_Islands	1	178	1	171	0.00	141	0.3689320388	187
Mauritania	3	162	3	145	0.00	141	0.4250559284	158
Mauritius	4	152	4	129	0.00	136	0.4231625835	159
Micronesia	1	178	1	171	0.00	141	0.4470588235	139
Monaco	3	162	3	145	0.00	141	0.4077253219	170
Mozambique	15	105	6	108	0.01	127	0.4600484262	127
Namibia	12	118	8	94	0.02	120	0.4750000000	100
Palau	2	170	2	155	0.00	141	0.4600484262	127
Panama	10	126	5	119	0.00	141	0.4589371981	130
Uzbekistan	25	91	15	77	0.25	87	0.5053191489	73
Qatar	5	144	5	119	0.01	126	0.4418604651	149
Rwanda	4	152	3	145	0.00	141	0.4622871046	125
San_Marino	2	170	2	155	0.00	141	0.3682170543	188
São_Tomé_and_Príncipe	5	144	2	155	0.02	118	0.3893442623	184
Sierra_Leone	10	126	2	155	0.00	141	0.4589371981	130
Singapore	4	152	4	129	0.00	134	0.3933747412	182
Somalia	1	178	1	171	0.00	141	0.3966597077	178
Zimbabwe	14	110	4	129	0.00	141	0.4634146341	123
South_Sudan	1	178	1	171	0.00	141	0.4470588235	139
Sri_Lanka	3	162	2	155	0.00	141	0.4279279279	157
St_Kitts_and_Nevis	1	178	1	171	0.00	141	0.3950103950	181
Swaziland	3	162	2	155	0.00	141	0.4589371981	130
Syria	21	95	14	78	0.14	96	0.4846938776	87
Tajikistan	13	115	9	90	0.17	94	0.4726368159	108
The_Bahamas	9	129	1	171	0.00	141	0.4470588235	139
The_Gambia	5	144	2	155	0.00	141	0.4589371981	130
Togo	5	144	4	129	0.00	141	0.4750000000	100
Tonga	2	170	1	171	0.00	141	0.3966597077	178
Turkmenistan	8	133	4	129	0.00	141	0.4600484262	127
Turks_and_Caicos_Islands	1	178	1	171	0.00	141	0.4470588235	139
Vanuatu	1	178	1	171	0.00	141	0.4059829060	171
Yemen	6	139	6	108	0.08	105	0.4460093897	148
