node	degree	degree_ranking	k	k_ranking	betweeness	betweeness_ranking	closeness	closeness_ranking	
Serbia	188	44	25	1	29.50	36	0.5347043702	46
Bosnia and Herzegovina	120	54	24	44	7.14	55	0.5292620865	50
Greece	351	30	25	1	13.86	46	0.5698630137	19
Slovakia	278	33	25	1	2.04	76	0.5416666667	39
Croatia	210	40	25	1	89.71	26	0.5459317585	33
Montenegro	71	68	22	55	0.95	83	0.5085574572	68
Slovenia	145	47	25	1	1.45	80	0.5360824742	45
Armenia	78	63	20	63	2.72	73	0.4988009592	74
Spain	587	13	25	1	429.79	11	0.6190476190	9
Romania	472	18	25	1	34.44	32	0.5810055866	14
Egypt	91	60	25	1	10.54	51	0.5445026178	37
Azerbaijan	61	72	16	76	1.35	81	0.4964200477	77
Turkey	460	21	25	1	1017.87	5	0.6380368098	5
Czech Republic	434	25	25	1	5.79	61	0.5546666667	27
Italy	1126	8	25	1	849.20	7	0.6303030303	6
Japan	1131	7	25	1	168.47	20	0.5761772853	17
Poland	1144	6	25	1	34.09	33	0.5730027548	18
Germany	2778	3	25	1	886.78	6	0.6303030303	6
USA	4520	1	25	1	9855.74	1	0.7849056604	1
France	3313	2	25	1	1946.26	3	0.6582278481	3
Hungary	459	22	25	1	13.96	44	0.5546666667	27
Jordan	67	70	20	63	170.78	19	0.5161290323	62
Algeria	58	73	20	63	5.88	60	0.5226130653	57
The Netherlands	461	20	25	1	274.79	16	0.5777777778	15
Austria	384	28	25	1	9.77	52	0.5621621622	24
UK	2318	4	25	1	2268.32	2	0.6459627329	4
Canada	476	17	25	1	72.01	28	0.5826330532	12
China	1076	9	25	1	1538.42	4	0.6603174603	2
South Korea	388	27	25	1	14.69	41	0.5652173913	22
Denmark	436	24	25	1	195.74	18	0.5459317585	33
Belgium	464	19	25	1	145.18	23	0.5698630137	19
Russia	1487	5	25	1	483.65	9	0.6283987915	8
Norway	608	12	25	1	147.06	22	0.5531914894	29
Switzerland	418	26	25	1	15.59	40	0.5459317585	33
Ireland	254	38	25	1	0.64	87	0.5226130653	57
New Zealand	172	45	13	84	7.96	53	0.4940617577	81
Kazakhstan	106	57	22	55	3.93	65	0.5279187817	51
India	208	42	23	49	99.46	25	0.5445026178	37
Israel	452	23	25	1	13.92	45	0.5636856369	23
Portugal	275	34	25	1	443.87	10	0.5517241379	31
Australia	368	29	24	44	339.61	12	0.5531914894	29
Cyprus	52	76	21	59	0.12	107	0.5085574572	68
Philippines	251	39	24	44	110.68	24	0.5374677003	44
Iraq	19	103	8	98	7.62	54	0.4611973392	115
Argentina	263	37	25	1	22.86	38	0.5561497326	26
Mali	26	93	9	93	0.17	101	0.4859813084	86
Iceland	142	49	16	76	12.87	49	0.5024154589	73
Indonesia	209	41	25	1	813.28	8	0.5875706215	10
Thailand	66	71	20	63	21.60	39	0.5265822785	52
Taiwan	268	35	21	59	280.19	15	0.5347043702	46
Georgia	137	51	22	55	3.35	69	0.5187032419	61
Ethiopia	13	119	8	98	0.00	153	0.4759725400	93
Lebanon	88	61	21	59	62.22	29	0.5239294710	56
Belize	4	158	1	185	0.00	156	0.4406779661	144
Brazil	523	15	25	1	332.26	13	0.5859154930	11
Ukraine	946	10	25	1	89.22	27	0.5826330532	12
Lithuania	267	36	25	1	4.45	63	0.5459317585	33
Eritrea	4	158	2	165	0.00	156	0.3946869070	188
Abu Dhabi - United Arab Emirates	14	113	5	124	6.74	56	0.4611973392	115
Mexico	492	16	24	44	149.70	21	0.5621621622	24
Belarus	126	52	23	49	3.46	67	0.5265822785	52
Western Sahara	43	81	6	111	0.68	86	0.4070450098	175
Bulgaria	348	31	25	1	13.51	47	0.5667574932	21
Sweden	684	11	25	1	324.84	14	0.5777777778	15
Côte dIvoire	7	140	3	151	0.00	156	0.4571428571	128
Nigeria	23	99	6	111	0.03	118	0.4674157303	108
Colombia	57	74	21	59	0.33	93	0.5226130653	57
Barbados	11	128	4	136	0.00	156	0.4695259594	103
Macedonia	143	48	24	44	6.04	58	0.5252525253	54
Mozambique	15	109	6	111	0.01	130	0.4551422319	133
Paraguay	49	77	13	84	0.10	111	0.4727272727	98
Zimbabwe	14	113	4	136	0.00	156	0.4622222222	113
Guatemala	29	89	9	93	0.03	119	0.4684684685	105
South Africa	117	55	23	49	28.17	37	0.5402597403	42
Venezuela	124	53	23	49	14.59	42	0.5416666667	39
Morocco	69	69	20	63	3.44	68	0.5226130653	57
Guinea-Bissau	4	158	2	165	0.00	147	0.3816513761	201
Rwanda	4	158	3	151	0.00	156	0.4571428571	128
Peru	76	64	19	71	3.09	70	0.5073170732	71
Moldova	116	56	19	71	2.76	72	0.4882629108	84
Burkina Faso	16	107	9	93	0.22	98	0.4727272727	98
Cuba	76	64	19	71	1.79	78	0.5060827251	72
Kyrgyzstan	13	119	7	107	0.01	128	0.4601769912	119
Chile	103	58	23	49	0.76	84	0.5135802469	64
El Salvador	19	103	6	111	0.00	152	0.4571428571	128
Nicaragua	138	50	14	81	0.34	91	0.4964200477	77
Senegal	24	97	11	87	1.77	79	0.4814814815	87
Syria	21	101	14	81	0.14	105	0.4759725400	93
