user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
Rod_Stewart	58	(432)	11	(4181)	7	(309)	7	(1307)	483506.71	(1400)	0.00024	(454)
A-mei	7	(5586)	5	(9690)	1	(13590)	2	(14112)	1256257.53	(456)	0.00003	(7677)
Chang_Yu-Sheng	1	(18479)	1	(24095)	1	(13590)	1	(21126)	0.00	(20860)	0.00001	(17855)
Chen_Shui-bian	7	(5586)	3	(14489)	2	(7740)	2	(14112)	61567.26	(7512)	0.00004	(5518)
Jam_Hsiao	2	(13478)	16	(2499)	1	(13590)	2	(14112)	1169321.52	(500)	0.00001	(16478)
Leehom_Wang	7	(5586)	4	(11725)	2	(7740)	4	(6525)	174986.60	(3614)	0.00003	(7642)
Puyuma	1	(18479)	1	(24095)	1	(13590)	1	(21126)	0.00	(20860)	0.00001	(17855)
A.C._Bhaktivedanta_Swami_Prabhupada	1	(18479)	1	(24095)	1	(13590)	1	(21126)	21772.00	(12723)	0.00001	(15957)
Allen_Ginsberg	43	(700)	30	(771)	6	(1251)	6	(2547)	1173480.10	(498)	0.00014	(1117)
A._J._Cook	0	(27130)	2	(18360)	0	(24714)	2	(14112)	0.00	(20860)	0.00000	(32929)
David_R._Ellis	20	(2035)	2	(18360)	4	(3262)	2	(14112)	18066.33	(13180)	0.00003	(7731)
Sofia_Coppola	42	(723)	8	(6126)	7	(309)	6	(2547)	257836.30	(2580)	0.00015	(984)
A._J._P._Taylor	1	(18479)	1	(24095)	1	(13590)	1	(21126)	4875.08	(15687)	0.00003	(9308)
Enzo_Biagi	34	(1017)	39	(383)	7	(309)	8	(229)	5187301.83	(55)	0.00023	(469)
A._Michael_Baldwin	0	(27130)	1	(24095)	0	(24714)	1	(21126)	0.00	(20860)	0.00000	(27335)
Don_Coscarelli	7	(5586)	1	(24095)	1	(13590)	1	(21126)	74359.00	(6670)	0.00002	(9801)
AIR	0	(27130)	1	(24095)	0	(24714)	1	(21126)	0.00	(20860)	0.00000	(27335)
George_Martin	18	(2299)	3	(14489)	4	(3262)	3	(9579)	115886.90	(4956)	0.00006	(3721)
ATB_(DJ)	0	(27130)	4	(11725)	0	(24714)	1	(21126)	0.00	(20860)	0.00000	(34765)
Heather_Nova	4	(8662)	1	(24095)	1	(13590)	1	(21126)	6490.87	(15203)	0.00001	(18912)
Judge_Jules	3	(10529)	0	(32083)	0	(24714)	0	(30966)	0.00	(20860)	0.00001	(22566)
Michael_Cretu	2	(13478)	0	(32083)	0	(24714)	0	(30966)	0.00	(20860)	0.00001	(23836)
Tiësto	14	(2997)	11	(4181)	3	(4980)	6	(2547)	138276.34	(4360)	0.00005	(5145)
AZ_(rapper)	0	(27130)	1	(24095)	0	(24714)	1	(21126)	0.00	(20860)	0.00000	(27335)
Aage_Niels_Bohr	3	(10529)	3	(14489)	1	(13590)	2	(14112)	43641.75	(9067)	0.00004	(5958)
Niels_Bohr	23	(1712)	8	(6126)	3	(4980)	2	(14112)	872344.22	(734)	0.00023	(501)
Werner_Karl_Heisenberg	21	(1913)	1	(24095)	3	(4980)	1	(21126)	38506.69	(9623)	0.00010	(1939)
Wolfgang_Pauli	11	(3792)	6	(8236)	3	(4980)	3	(9579)	398862.45	(1700)	0.00005	(4276)
Aaliyah	23	(1712)	30	(771)	7	(309)	8	(229)	242634.93	(2724)	0.00008	(2714)
Ananda_Lewis	1	(18479)	4	(11725)	1	(13590)	4	(6525)	1954.92	(17056)	0.00001	(22569)
Anne_Rice	11	(3792)	7	(7076)	5	(2155)	5	(4325)	111607.94	(5088)	0.00003	(8146)
Britney_Spears	87	(187)	38	(410)	7	(309)	8	(229)	2130478.60	(216)	0.00024	(442)
Christina_Aguilera	71	(285)	27	(964)	7	(309)	8	(229)	1044667.77	(584)	0.00019	(671)
Dallas_Austin	6	(6350)	4	(11725)	4	(3262)	4	(6525)	8370.37	(14746)	0.00002	(10352)
Delroy_Lindo	2	(13478)	0	(32083)	2	(7740)	0	(30966)	0.00	(20860)	0.00001	(20802)
Eddie_Murphy	49	(572)	7	(7076)	7	(309)	4	(6525)	263910.83	(2526)	0.00020	(625)
George_Harrison	66	(331)	20	(1696)	7	(309)	8	(229)	767982.01	(834)	0.00025	(411)
Gladys_Knight	16	(2628)	5	(9690)	7	(309)	5	(4325)	36054.28	(9850)	0.00006	(3871)
Isaiah_Washington	3	(10529)	2	(18360)	2	(7740)	1	(21126)	55626.14	(8031)	0.00002	(9918)
Jamie_Foxx	29	(1265)	25	(1114)	7	(309)	7	(1307)	331567.77	(2027)	0.00010	(1857)
Jessica_Alba	26	(1476)	14	(3012)	5	(2155)	6	(2547)	212970.74	(3062)	0.00007	(3234)
Jet_Li	21	(1913)	15	(2729)	4	(3262)	6	(2547)	404004.76	(1676)	0.00008	(2738)
Marvin_Gaye	36	(947)	29	(829)	7	(309)	8	(229)	386953.21	(1753)	0.00010	(1941)
Queen_Latifah	20	(2035)	0	(32083)	5	(2155)	0	(30966)	0.00	(20860)	0.00004	(5581)
Quincy_Jones	80	(232)	42	(311)	7	(309)	8	(229)	3533742.92	(104)	0.00028	(346)
Rosario_Dawson	8	(4999)	19	(1864)	4	(3262)	7	(1307)	172945.24	(3644)	0.00002	(10776)
Stuart_Townsend	13	(3223)	5	(9690)	5	(2155)	4	(6525)	23204.21	(11865)	0.00002	(10145)
Toni_Braxton	22	(1805)	19	(1864)	6	(1251)	8	(229)	119371.57	(4834)	0.00006	(3542)
Tweet	5	(7353)	17	(2258)	3	(4980)	8	(229)	9339.87	(14543)	0.00002	(11965)
Vincent_Pérez	6	(6350)	19	(1864)	3	(4980)	8	(229)	78001.85	(6484)	0.00001	(14957)
Whitney_Houston	74	(266)	23	(1315)	7	(309)	8	(229)	675256.82	(951)	0.00022	(514)
Wyclef_Jean	23	(1712)	12	(3738)	7	(309)	7	(1307)	244745.69	(2699)	0.00007	(3395)
Aamir_Khan	3	(10529)	3	(14489)	2	(7740)	2	(14112)	147598.69	(4151)	0.00001	(15066)
Karisma_Kapoor	4	(8662)	8	(6126)	2	(7740)	2	(14112)	184700.64	(3439)	0.00002	(11451)
Preity_Zinta	11	(3792)	39	(383)	2	(7740)	2	(14112)	4910710.46	(59)	0.00005	(5001)
Saif_Ali_Khan	5	(7353)	1	(24095)	2	(7740)	1	(21126)	29449.00	(10981)	0.00009	(2202)
Aaron_Aaronsohn	0	(27130)	2	(18360)	0	(24714)	2	(14112)	0.00	(20860)	0.00000	(32929)
Chaim_Weizmann	4	(8662)	6	(8236)	1	(13590)	3	(9579)	90432.61	(5879)	0.00002	(13151)
Edmond_James_de_Rothschild	3	(10529)	4	(11725)	1	(13590)	2	(14112)	11722.61	(14051)	0.00001	(18737)
Aaron_Aguilera	0	(27130)	1	(24095)	0	(24714)	1	(21126)	0.00	(20860)	0.00000	(27335)
John_Cena	45	(657)	21	(1568)	8	(49)	9	(1)	437440.86	(1557)	0.00013	(1223)
Aaron_Beck	0	(27130)	1	(24095)	0	(24714)	1	(21126)	0.00	(20860)	0.00000	(27335)
Albert_Ellis	2	(13478)	14	(3012)	0	(24714)	5	(4325)	25264.85	(11579)	0.00001	(18475)
Aaron_Burr	8	(4999)	37	(430)	4	(3262)	5	(4325)	564998.06	(1169)	0.00011	(1724)
Albert_Gallatin	7	(5586)	1	(24095)	2	(7740)	1	(21126)	22191.23	(12054)	0.00004	(7171)
Alexander_Hamilton	18	(2299)	6	(8236)	4	(3262)	4	(6525)	251455.53	(2635)	0.00028	(353)
Benedict_Arnold	4	(8662)	1	(24095)	2	(7740)	1	(21126)	10617.48	(14275)	0.00006	(3677)
Booth_Tarkington	4	(8662)	5	(9690)	3	(4980)	4	(6525)	25398.90	(11567)	0.00002	(12212)
Charles_Lee	1	(18479)	0	(32083)	1	(13590)	0	(30966)	0.00	(20860)	0.00001	(22193)
Charles_Maurice_de_Talleyrand-Périgord	12	(3487)	18	(2027)	4	(3262)	5	(4325)	303831.06	(2215)	0.00006	(3888)
Davy_Crockett	8	(4999)	8	(6126)	3	(4980)	3	(9579)	122374.65	(4746)	0.00003	(9199)
Edward_Tiffin	1	(18479)	1	(24095)	1	(13590)	1	(21126)	0.00	(20860)	0.00001	(22193)
Eudora_Welty	3	(10529)	3	(14489)	3	(4980)	2	(14112)	25187.48	(11588)	0.00001	(15418)
George_Clinton	13	(3223)	7	(7076)	4	(3262)	4	(6525)	367888.14	(1835)	0.00007	(3161)
George_Washington	58	(432)	21	(1568)	5	(2155)	4	(6525)	2085084.13	(222)	0.00076	(37)
Gilbert_Stuart	7	(5586)	4	(11725)	4	(3262)	3	(9579)	24293.77	(11709)	0.00013	(1297)
Gore_Vidal	24	(1641)	19	(1864)	4	(3262)	7	(1307)	1036692.38	(586)	0.00013	(1261)
Henry_Brooks_Adams	4	(8662)	2	(18360)	2	(7740)	2	(14112)	21410.41	(12779)	0.00001	(18508)
Horatio_Gates	8	(4999)	3	(14489)	2	(7740)	2	(14112)	30526.43	(10596)	0.00007	(3203)
Hugh_Henry_Brackenridge	1	(18479)	0	(32083)	1	(13590)	0	(30966)	0.00	(20860)	0.00001	(22193)
Israel_Putnam	2	(13478)	1	(24095)	2	(7740)	1	(21126)	0.00	(20860)	0.00001	(19362)
James_Madison	27	(1397)	9	(5379)	4	(3262)	4	(6525)	513229.26	(1312)	0.00031	(267)
James_Monroe	17	(2442)	6	(8236)	4	(3262)	4	(6525)	475688.09	(1425)	0.00028	(337)
John_Adams	28	(1344)	5	(9690)	5	(2155)	4	(6525)	910581.22	(686)	0.00042	(139)
John_Jay	10	(4152)	13	(3359)	4	(3262)	4	(6525)	193121.15	(3324)	0.00016	(967)
John_Marshall	12	(3487)	10	(4715)	4	(3262)	4	(6525)	397900.38	(1708)	0.00017	(827)
John_Trumbull	2	(13478)	9	(5379)	2	(7740)	4	(6525)	8327.77	(14755)	0.00002	(11954)
John_Witherspoo	2	(13478)	1	(24095)	2	(7740)	1	(21126)	4894.61	(15676)	0.00004	(6823)
Joseph_Fouché	7	(5586)	4	(11725)	4	(3262)	3	(9579)	25376.87	(11568)	0.00005	(4825)
Lucio_Sergio_Catilina	8	(4999)	5	(9690)	5	(2155)	3	(9579)	8504.40	(14712)	0.00008	(2691)
Mary_Wollstonecraft	8	(4999)	22	(1435)	5	(2155)	6	(2547)	320176.83	(2099)	0.00005	(5168)
Napoleone_Bonaparte	181	(25)	55	(128)	7	(309)	8	(229)	15983398.08	(8)	0.00114	(8)
Philip_Schuyler	1	(18479)	3	(14489)	1	(13590)	1	(21126)	29443.00	(11156)	0.00001	(22192)
Rembrandt_Peale	1	(18479)	4	(11725)	1	(13590)	3	(9579)	37529.08	(9707)	0.00001	(22196)
Robert_R._Livingston	5	(7353)	3	(14489)	3	(4980)	3	(9579)	22228.12	(12048)	0.00004	(6004)
Rufus_King	4	(8662)	1	(24095)	2	(7740)	1	(21126)	1693.77	(17258)	0.00002	(10307)
Sam_Houston	9	(4549)	6	(8236)	3	(4980)	3	(9579)	227436.81	(2884)	0.00006	(3578)
Samuel_Osgood	2	(13478)	4	(11725)	2	(7740)	3	(9579)	479.29	(18610)	0.00002	(11986)
