user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
"Weird_Al"_Yankovic	6	(1919)	36	(23)	1	(5496)	3	(470)	276730.78	(1012)	0.00002	(9495)
Aerosmith	28	(156)	12	(494)	2	(1468)	3	(470)	342361.71	(814)	0.00020	(721)
Alanis_Morissette	5	(2443)	2	(7526)	1	(5496)	1	(8427)	40038.58	(4452)	0.00003	(7552)
Avril_Lavigne	9	(1113)	4	(3540)	2	(1468)	2	(3115)	131494.44	(2030)	0.00007	(3956)
Backstreet_Boys	13	(637)	3	(5036)	2	(1468)	2	(3115)	94554.43	(2617)	0.00013	(1431)
Barbra_Streisand	31	(129)	6	(1925)	3	(198)	2	(3115)	1264509.66	(155)	0.00020	(724)
Billy_Idol	8	(1296)	2	(7526)	3	(198)	1	(8427)	108168.60	(2356)	0.00003	(7744)
Billy_Joel	16	(450)	2	(7526)	2	(1468)	2	(3115)	250677.42	(1123)	0.00005	(5231)
Billy_Ray_Cyrus	4	(3144)	3	(5036)	1	(5496)	2	(3115)	38490.58	(4546)	0.00006	(4627)
Chamillionaire	4	(3144)	1	(12036)	2	(1468)	1	(8427)	194.44	(9992)	0.00019	(767)
Coolio	4	(3144)	7	(1466)	1	(5496)	3	(470)	66290.29	(3289)	0.00001	(14404)
Cyndi_Lauper	5	(2443)	3	(5036)	2	(1468)	2	(3115)	8371.72	(8201)	0.00001	(13141)
Céline_Dion	26	(182)	0	(19684)	2	(1468)	0	(18341)	0.00	(11244)	0.00016	(1110)
Don_McLean	4	(3144)	2	(7526)	2	(1468)	1	(8427)	5130.67	(8617)	0.00008	(2784)
Elton_John	50	(49)	24	(82)	3	(198)	3	(470)	5771124.01	(20)	0.00048	(149)
Eminem	28	(156)	24	(82)	3	(198)	3	(470)	3213224.15	(48)	0.00026	(438)
George_Harrison	31	(129)	6	(1925)	3	(198)	3	(470)	327088.26	(855)	0.00038	(211)
James_Blunt	3	(4305)	5	(2546)	1	(5496)	2	(3115)	79945.01	(2937)	0.00004	(7077)
James_Brown	20	(310)	3	(5036)	3	(198)	1	(8427)	44155.70	(4234)	0.00081	(46)
Joan_Jett	10	(956)	3	(5036)	3	(198)	2	(3115)	109382.75	(2339)	0.00005	(5547)
Lady_Gaga	13	(637)	5	(2546)	2	(1468)	3	(470)	251367.59	(1120)	0.00005	(5674)
MC_Hammer	2	(6297)	2	(7526)	1	(5496)	2	(3115)	3520.56	(8898)	0.00002	(10909)
Michael_Jackson	74	(20)	45	(9)	3	(198)	3	(470)	10670423.10	(4)	0.00070	(62)
Mick_Jagger	29	(146)	5	(2546)	3	(198)	3	(470)	1015320.60	(211)	0.00027	(394)
Neil_Diamond	7	(1557)	4	(3540)	2	(1468)	2	(3115)	54682.99	(3712)	0.00002	(11359)
R._Kelly	13	(637)	4	(3540)	3	(198)	3	(470)	103052.54	(2443)	0.00009	(2422)
Red_Hot_Chili_Peppers	23	(223)	9	(897)	3	(198)	3	(470)	375970.53	(727)	0.00026	(437)
Richard_Harris	12	(732)	1	(12036)	2	(1468)	1	(8427)	32275.00	(4973)	0.00018	(852)
Robert_Palmer	5	(2443)	1	(12036)	1	(5496)	0	(18341)	16136.00	(6493)	0.00002	(9226)
Sean_Combs	19	(337)	2	(7526)	3	(198)	1	(8427)	19661.16	(6041)	0.00015	(1178)
Stevie_Nicks	8	(1296)	2	(7526)	2	(1468)	2	(3115)	39925.99	(4457)	0.00005	(4988)
Taylor_Hicks	3	(4305)	0	(19684)	1	(5496)	0	(18341)	0.00	(11244)	0.00002	(11885)
The_Greg_Kihn_Band	1	(10104)	0	(19684)	1	(5496)	0	(18341)	0.00	(11244)	0.00001	(17324)
The_Police	7	(1557)	3	(5036)	2	(1468)	2	(3115)	59871.21	(3506)	0.00008	(3015)
Tone_Loc	1	(10104)	0	(19684)	1	(5496)	0	(18341)	0.00	(11244)	0.00001	(17324)
Toni_Basil	1	(10104)	0	(19684)	1	(5496)	0	(18341)	0.00	(11244)	0.00001	(17324)
Usher	21	(274)	12	(494)	3	(198)	3	(470)	638683.74	(369)	0.00012	(1749)
12_Gauge	0	(17449)	2	(7526)	0	(15260)	2	(3115)	0.00	(11244)	0.00001	(17449)
Ice_Cube	14	(566)	4	(3540)	3	(198)	2	(3115)	115446.96	(2236)	0.00019	(779)
Tupac_Shakur	20	(310)	17	(190)	3	(198)	3	(470)	738715.67	(307)	0.00016	(1032)
50_Cent	15	(507)	11	(613)	3	(198)	3	(470)	134215.98	(1997)	0.00010	(2135)
Dr._Dre	19	(337)	6	(1925)	3	(198)	3	(470)	154218.51	(1778)	0.00023	(531)
Fat_Joe	7	(1557)	2	(7526)	2	(1468)	1	(8427)	39179.89	(4517)	0.00005	(5593)
Jay-Z	34	(104)	5	(2546)	3	(198)	3	(470)	188555.46	(1488)	0.00020	(720)
LL_Cool_J	11	(821)	0	(19684)	2	(1468)	0	(18341)	0.00	(11244)	0.00004	(6386)
Lil_Scrappy	1	(10104)	1	(12036)	1	(5496)	1	(8427)	125.82	(10056)	0.00002	(12301)
Lloyd_Banks	5	(2443)	2	(7526)	2	(1468)	1	(8427)	2745.99	(9038)	0.00003	(8009)
Mase	5	(2443)	0	(19684)	1	(5496)	0	(18341)	0.00	(11244)	0.00002	(9561)
Raphael_Saadiq	3	(4305)	7	(1466)	2	(1468)	3	(470)	85501.08	(2804)	0.00003	(8406)
Tony_Yayo	4	(3144)	0	(19684)	2	(1468)	0	(18341)	0.00	(11244)	0.00004	(6563)
Young_Buck	2	(6297)	0	(19684)	2	(1468)	0	(18341)	0.00	(11244)	0.00002	(9426)
A.A._Milne	0	(17449)	1	(12036)	0	(15260)	1	(8427)	0.00	(11244)	0.00001	(18715)
Lennart_Hellsing	4	(3144)	8	(1134)	1	(5496)	2	(3115)	128412.64	(2067)	0.00004	(6017)
A.E._van_Vogt	1	(10104)	1	(12036)	1	(5496)	1	(8427)	0.00	(11244)	0.00001	(12463)
John_W._Campbell	5	(2443)	8	(1134)	2	(1468)	2	(3115)	234282.72	(1202)	0.00007	(3345)
A.J._Cook	1	(10104)	1	(12036)	1	(5496)	1	(8427)	0.00	(11244)	0.00007	(3407)
Paget_Brewster	1	(10104)	1	(12036)	1	(5496)	1	(8427)	0.00	(11244)	0.00007	(3407)
A.J._McLean	2	(6297)	1	(12036)	2	(1468)	1	(8427)	0.00	(11244)	0.00006	(4647)
A.K._Antony	0	(17449)	1	(12036)	0	(15260)	1	(8427)	0.00	(11244)	0.00001	(18715)
Pranab_Mukherjee	1	(10104)	2	(7526)	0	(15260)	1	(8427)	11751.00	(7445)	0.00001	(13766)
A.S._Byatt	1	(10104)	8	(1134)	1	(5496)	2	(3115)	41443.99	(4376)	0.00002	(9322)
D.H._Lawrence	6	(1919)	2	(7526)	1	(5496)	1	(8427)	80609.95	(2916)	0.00009	(2436)
Emily_Dickinson	4	(3144)	0	(19684)	1	(5496)	0	(18341)	0.00	(11244)	0.00004	(6609)
George_Eliot	2	(6297)	2	(7526)	1	(5496)	2	(3115)	504.55	(9779)	0.00001	(15790)
Henri_Matisse	16	(450)	7	(1466)	2	(1468)	2	(3115)	276561.67	(1014)	0.00014	(1407)
Henry_James	18	(372)	2	(7526)	3	(198)	1	(8427)	3827.63	(8840)	0.00194	(7)
Iris_Murdoch	3	(4305)	0	(19684)	1	(5496)	0	(18341)	0.00	(11244)	0.00001	(12762)
Margaret_Drabble	2	(6297)	1	(12036)	1	(5496)	1	(8427)	45827.99	(4152)	0.00002	(10954)
T.S._Eliot	23	(223)	13	(409)	3	(198)	3	(470)	906497.03	(246)	0.00014	(1358)
A.S._Mike_Monroney	2	(6297)	1	(12036)	1	(5496)	1	(8427)	11759.00	(7319)	0.00002	(10312)
Henry_Bellmon	4	(3144)	5	(2546)	2	(1468)	2	(3115)	54003.00	(3730)	0.00004	(6364)
