node	degree	degree_ranking	k	k_ranking	betweeness	betweeness_ranking	closeness	closeness_ranking	
Côte_dIvoire	3	139	3	139	0.00	139	0.4803625378	120
Dominican_Republic	8	100	8	97	0.38	111	0.4862385321	111
Iraq	10	89	8	97	15.57	55	0.4922600619	100
Tunisia	20	73	19	71	4.41	81	0.5247524752	73
El_Salvador	6	109	6	107	0.04	135	0.4847560976	113
Equatorial_Guinea	2	147	2	146	0.00	139	0.4056122449	157
Eritrea	2	147	2	146	0.00	139	0.4119170984	155
Ethiopia	8	100	8	97	0.03	138	0.4953271028	96
Tanzania	7	105	7	105	0.00	139	0.4907407407	106
Haiti	2	147	2	146	0.00	139	0.4746268657	129
Gabon	1	157	1	157	0.00	139	0.4151436031	154
Niger	3	139	3	139	1.31	100	0.4087403599	156
Guatemala	9	97	9	92	0.73	106	0.4953271028	96
Guinea	1	157	1	157	0.00	139	0.4649122807	135
Guinea-Bissau	2	147	2	146	0.08	124	0.3965087282	159
Trinidad_and_Tobago	3	139	2	146	0.50	108	0.4676470588	133
Guyana	2	147	2	146	0.00	139	0.4662756598	134
Honduras	9	97	9	92	0.85	105	0.5031645570	87
Hong_Kong	2	147	2	146	0.00	139	0.3750000000	160
Vietnam	17	76	15	78	26.43	47	0.5213114754	77
Uganda	5	119	5	118	0.09	122	0.4789156627	122
Oman	4	128	4	126	0.63	107	0.4217506631	151
Jamaica	5	119	5	118	0.00	139	0.4862385321	111
Kenya	6	109	6	107	0.00	139	0.4922600619	100
Kyrgyzstan	7	105	7	105	0.22	116	0.4922600619	100
Laos	5	119	5	118	1.81	99	0.4832826748	116
Lesotho	1	157	1	157	0.00	139	0.4649122807	135
Liberia	2	147	2	146	0.00	139	0.4690265487	132
Madagascar	5	119	5	118	0.08	126	0.4892307692	108
Malawi	4	128	4	126	0.37	112	0.4478873239	145
Malta	26	59	25	1	1.84	98	0.5408163265	56
Mauritania	3	139	3	139	0.00	139	0.4441340782	146
Mauritius	4	128	4	126	0.09	123	0.4380165289	149
Mozambique	6	109	6	107	0.06	130	0.4746268657	129
Namibia	8	100	8	97	0.49	109	0.4937888199	99
Panama	6	109	6	107	0.05	133	0.4832826748	116
Uzbekistan	16	79	15	78	4.09	82	0.5196078431	78
Qatar	5	119	5	118	0.24	115	0.4608695652	141
Rwanda	3	139	3	139	0.00	139	0.4789156627	122
Sierra_Leone	2	147	2	146	0.00	139	0.4732142857	131
Singapore	4	128	4	126	0.07	127	0.3984962406	158
Zimbabwe	4	128	4	126	0.00	139	0.4774774775	126
Sri_Lanka	2	147	2	146	0.00	139	0.4392265193	147
Swaziland	3	139	3	139	0.06	128	0.4760479042	127
Syria	14	83	14	81	1.90	96	0.5063694268	85
Tajikistan	10	89	9	92	2.14	91	0.4968750000	93
The_Gambia	3	139	3	139	0.06	128	0.4760479042	127
Togo	5	119	5	118	0.10	120	0.4922600619	100
Turkmenistan	4	128	4	126	0.00	139	0.4803625378	120
Yemen	6	109	6	107	1.28	101	0.4608695652	141
