user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
"Weird_Al"_Yankovic	7	(2341)	28	(54)	2	(2510)	4	(279)	324269.49	(1093)	0.00005	(5865)
Billy_Idol	6	(2859)	1	(14551)	2	(2510)	1	(11418)	16845.25	(7848)	0.00012	(1810)
Bob_Dylan	122	(8)	32	(38)	4	(184)	4	(279)	7497954.12	(12)	0.00097	(32)
Bob_Marley	33	(182)	10	(1061)	3	(598)	3	(1096)	601030.81	(542)	0.00029	(354)
Coolio	7	(2341)	7	(2095)	3	(598)	4	(279)	121752.28	(2717)	0.00006	(4774)
Dave_Grohl	9	(1713)	12	(702)	2	(2510)	3	(1096)	294785.42	(1215)	0.00008	(3145)
Elton_John	56	(49)	15	(427)	4	(184)	4	(279)	2729884.75	(62)	0.00058	(88)
Eminem	41	(107)	11	(846)	4	(184)	5	(91)	1794817.72	(110)	0.00033	(280)
Frank_Zappa	40	(115)	11	(846)	3	(598)	4	(279)	2602107.07	(64)	0.00031	(321)
Jimi_Hendrix	62	(40)	32	(38)	4	(184)	4	(279)	4175103.66	(30)	0.00047	(137)
Jimmy_Page	24	(361)	5	(3719)	3	(598)	3	(1096)	220869.93	(1648)	0.00019	(811)
Johnny_Cash	43	(100)	17	(305)	4	(184)	4	(279)	1685790.82	(132)	0.00049	(117)
Kanye_West	37	(142)	16	(361)	4	(184)	5	(91)	1546600.27	(152)	0.00030	(333)
Kate_Winslet	12	(1137)	4	(5031)	3	(598)	2	(5309)	131525.27	(2570)	0.00011	(2001)
Lady_Gaga	17	(669)	14	(508)	2	(2510)	4	(279)	479786.36	(710)	0.00007	(3247)
Mark_Knopfler	18	(601)	9	(1311)	3	(598)	4	(279)	302841.68	(1182)	0.00013	(1494)
Mick_Jagger	48	(78)	14	(508)	4	(184)	4	(279)	1744362.21	(121)	0.00059	(82)
Paul_McCartney	68	(30)	12	(702)	4	(184)	3	(1096)	1068505.46	(259)	0.00090	(37)
Prince	36	(154)	25	(82)	4	(184)	4	(279)	1432596.87	(178)	0.00030	(342)
Red_Hot_Chili_Peppers	34	(171)	17	(305)	3	(598)	4	(279)	1881889.84	(102)	0.00031	(310)
Rihanna	27	(276)	18	(258)	4	(184)	5	(91)	427642.49	(822)	0.00019	(810)
Robert_Palmer	11	(1300)	0	(21675)	2	(2510)	0	(20521)	0.00	(12790)	0.00003	(9000)
Shel_Silverstein	1	(11348)	1	(14551)	1	(6825)	1	(11418)	580.34	(11257)	0.00001	(16924)
Snoop_Dogg	54	(55)	22	(135)	4	(184)	5	(91)	2161525.39	(82)	0.00055	(94)
The_Police	12	(1137)	3	(7054)	3	(598)	2	(5309)	114556.48	(2827)	0.00018	(843)
Thomas_Dolby	3	(5722)	0	(21675)	2	(2510)	0	(20521)	0.00	(12790)	0.00001	(14195)
Tina_Turner	34	(171)	22	(135)	4	(184)	4	(279)	1189894.25	(222)	0.00023	(570)
Tom_Lehrer	3	(5722)	6	(2772)	2	(2510)	3	(1096)	103897.41	(3028)	0.00001	(12960)
Wendy_Carlos	1	(11348)	5	(3719)	1	(6825)	3	(1096)	10957.13	(9041)	0.00001	(16923)
50_Cent	31	(206)	21	(164)	4	(184)	5	(91)	1039680.09	(266)	0.00020	(703)
Cam'Ron	2	(7764)	0	(21675)	2	(2510)	0	(20521)	0.00	(12790)	0.00002	(9197)
Dr._Dre	34	(171)	11	(846)	4	(184)	5	(91)	460793.92	(741)	0.00030	(350)
Fat_Joe	15	(799)	8	(1631)	3	(598)	4	(279)	43210.39	(5294)	0.00009	(2537)
Ghostface_Killah	4	(4415)	0	(21675)	2	(2510)	0	(20521)	0.00	(12790)	0.00002	(10073)
Jam_Master_Jay	2	(7764)	1	(14551)	1	(6825)	1	(11418)	13001.00	(8834)	0.00002	(10432)
Jay-Z	54	(55)	10	(1061)	4	(184)	5	(91)	1120662.72	(246)	0.00046	(138)
Jim_Jones	3	(5722)	1	(14551)	2	(2510)	0	(20521)	19129.00	(7496)	0.00002	(9203)
Justin_Timberlake	40	(115)	21	(164)	4	(184)	5	(91)	1189978.38	(221)	0.00025	(476)
Kirk_Jones	2	(7764)	0	(21675)	1	(6825)	0	(20521)	0.00	(12790)	0.00002	(11956)
Lloyd_Banks	11	(1300)	11	(846)	3	(598)	5	(91)	224284.37	(1622)	0.00007	(3514)
Mike_Tyson	9	(1713)	4	(5031)	3	(598)	1	(11418)	135857.69	(2498)	0.00018	(853)
Nate_Dogg	11	(1300)	9	(1311)	4	(184)	5	(91)	77971.09	(3715)	0.00014	(1379)
Nicole_Scherzinger	14	(905)	5	(3719)	4	(184)	3	(1096)	1299447.01	(199)	0.00009	(2474)
R._Kelly	16	(728)	9	(1311)	4	(184)	4	(279)	158163.32	(2171)	0.00016	(1052)
Robin_Thicke	3	(5722)	19	(227)	2	(2510)	5	(91)	174769.76	(2017)	0.00003	(8352)
Sean_Combs	22	(429)	23	(110)	4	(184)	5	(91)	898100.18	(318)	0.00016	(1033)
Timbaland	29	(237)	15	(427)	4	(184)	5	(91)	486346.76	(693)	0.00018	(910)
Tony_Yayo	5	(3505)	7	(2095)	3	(598)	5	(91)	654244.60	(491)	0.00004	(7175)
Young_Buck	12	(1137)	5	(3719)	3	(598)	4	(279)	95176.29	(3239)	0.00008	(3077)
A.A._Milne	1	(11348)	1	(14551)	1	(6825)	1	(11418)	931.56	(11052)	0.00001	(12971)
Herbert_George_Wells	14	(905)	2	(10039)	2	(2510)	2	(5309)	149880.75	(2265)	0.00006	(4129)
A.E._van_Vogt	2	(7764)	2	(10039)	1	(6825)	2	(5309)	266506.41	(1363)	0.00001	(13086)
Alfred_Korzybski	1	(11348)	13	(608)	1	(6825)	2	(5309)	244051.48	(1486)	0.00001	(13497)
Charles_Darwin	42	(106)	24	(100)	2	(2510)	2	(5309)	3740447.96	(37)	0.00070	(59)
A.J._Roach	0	(17814)	1	(14551)	0	(15653)	1	(11418)	0.00	(12790)	0.00001	(18297)
Jacques_Brel	24	(361)	16	(361)	2	(2510)	3	(1096)	1079486.63	(258)	0.00008	(2968)
A.S._Byatt	0	(17814)	1	(14551)	0	(15653)	1	(11418)	0.00	(12790)	0.00001	(18297)
Joanne_Rowling	9	(1713)	1	(14551)	2	(2510)	1	(11418)	52139.64	(4769)	0.00005	(5780)
A._R._Rahman	3	(5722)	5	(3719)	2	(2510)	2	(5309)	59922.87	(4420)	0.00003	(8603)
Andrew_Lloyd_Webber	22	(429)	2	(10039)	2	(2510)	1	(11418)	174738.01	(2018)	0.00025	(481)
Nusrat_Fateh_Ali_Khan	1	(11348)	2	(10039)	1	(6825)	2	(5309)	16538.83	(7874)	0.00001	(14615)
Vanessa-Mae	3	(5722)	1	(14551)	2	(2510)	1	(11418)	40351.97	(5476)	0.00003	(7772)
Vince_Vaughn	5	(3505)	4	(5031)	2	(2510)	3	(1096)	193323.07	(1844)	0.00004	(6604)
AEK_Athene	17	(669)	7	(2095)	2	(2510)	1	(11418)	134007.00	(2534)	0.00071	(57)
Demis_Nikolaidis	1	(11348)	1	(14551)	1	(6825)	1	(11418)	0.00	(12790)	0.00010	(2276)
Giorgos_Tofas	1	(11348)	1	(14551)	1	(6825)	1	(11418)	0.00	(12790)	0.00010	(2276)
Lefter_Küçükandonyadis	2	(7764)	1	(14551)	1	(6825)	1	(11418)	7.00	(12083)	0.00010	(2103)
Pantelis_Kafes	1	(11348)	1	(14551)	1	(6825)	1	(11418)	0.00	(12790)	0.00010	(2276)
Pantelis_Kapetanos	1	(11348)	1	(14551)	1	(6825)	1	(11418)	0.00	(12790)	0.00010	(2276)
Theodoros_Zagorakis	1	(11348)	1	(14551)	1	(6825)	1	(11418)	0.00	(12790)	0.00010	(2276)
Vassilios_Tsiartas	1	(11348)	1	(14551)	1	(6825)	1	(11418)	0.00	(12790)	0.00010	(2276)
AJ_McLean	2	(7764)	1	(14551)	1	(6825)	1	(11418)	0.00	(12790)	0.00005	(5839)
Backstreet_Boys	14	(905)	3	(7054)	2	(2510)	1	(11418)	158214.15	(2170)	0.00012	(1642)
A_Fine_Frenzy	0	(17814)	4	(5031)	0	(15653)	2	(5309)	0.00	(12790)	0.00001	(22371)
C.S._Lewis	8	(1983)	3	(7054)	1	(6825)	2	(5309)	48794.41	(4970)	0.00006	(4570)
Charles_Dickens	38	(133)	0	(21675)	3	(598)	0	(20521)	0.00	(12790)	0.00033	(293)
Lewis_Carroll	6	(2859)	1	(14551)	1	(6825)	1	(11418)	19130.00	(7485)	0.00022	(597)
William_Shakespeare	192	(2)	35	(30)	3	(598)	3	(1096)	14041225.76	(3)	0.00148	(12)
Aad_de_Mos	5	(3505)	3	(7054)	2	(2510)	1	(11418)	283076.42	(1274)	0.00025	(463)
Al-Hilal	10	(1490)	1	(14551)	2	(2510)	1	(11418)	165237.77	(2104)	0.00018	(891)
Constant_Vanden_Stock	11	(1300)	0	(21675)	2	(2510)	0	(20521)	0.00	(12790)	0.00012	(1783)
Kees_Rijvers	12	(1137)	11	(846)	3	(598)	3	(1096)	773040.35	(387)	0.00034	(266)
Aad_van_den_Hoek	0	(17814)	1	(14551)	0	(15653)	1	(11418)	0.00	(12790)	0.00001	(18297)
Gerrie_Knetemann	8	(1983)	6	(2772)	2	(2510)	3	(1096)	404759.27	(876)	0.00007	(3445)
Aafje_Heynis	0	(17814)	3	(7054)	0	(15653)	2	(5309)	0.00	(12790)	0.00001	(18297)
Bernard_Haitink	11	(1300)	12	(702)	2	(2510)	3	(1096)	122856.61	(2700)	0.00005	(5421)
Laurens_Bogtman	1	(11348)	0	(21675)	0	(15653)	0	(20521)	0.00	(12790)	0.00001	(16481)
Wolfgang_Sawallisch	3	(5722)	12	(702)	0	(15653)	3	(1096)	17700.16	(7768)	0.00001	(14633)
Aage_Bohr	5	(3505)	9	(1311)	4	(184)	4	(279)	11806.64	(8962)	0.00003	(8055)
Antony_Hewish	7	(2341)	8	(1631)	4	(184)	4	(279)	41808.83	(5392)	0.00004	(6258)
Ben_Mottelson	5	(3505)	9	(1311)	4	(184)	4	(279)	28670.85	(6425)	0.00003	(8055)
Hendrik_Kramers	7	(2341)	3	(7054)	3	(598)	2	(5309)	6001.63	(9683)	0.00004	(6182)
James_Rainwater	5	(3505)	5	(3719)	4	(184)	4	(279)	869.88	(11087)	0.00003	(8452)
Martin_Ryle	9	(1713)	9	(1311)	4	(184)	4	(279)	111328.17	(2879)	0.00006	(3872)
Niels_Bohr	32	(191)	5	(3719)	4	(184)	3	(1096)	492123.32	(690)	0.00034	(270)
Samuel_Ting	7	(2341)	7	(2095)	4	(184)	4	(279)	10400.36	(9104)	0.00003	(7362)
Werner_Heisenberg	27	(276)	13	(608)	4	(184)	3	(1096)	634653.61	(508)	0.00030	(331)
Wolfgang_Pauli	18	(601)	6	(2772)	4	(184)	3	(1096)	259227.07	(1399)	0.00015	(1172)
Aaliyah	5	(3505)	7	(2095)	4	(184)	4	(279)	54329.96	(4667)	0.00005	(5642)
Harold_Perrineau	1	(11348)	0	(21675)	1	(6825)	0	(20521)	0.00	(12790)	0.00001	(13447)
Jet_Li	14	(905)	0	(21675)	1	(6825)	0	(20521)	0.00	(12790)	0.00004	(6085)
Lil'_Kim	22	(429)	27	(60)	4	(184)	5	(91)	1310683.03	(195)	0.00015	(1243)
Missy_Elliott	23	(388)	9	(1311)	4	(184)	5	(91)	264692.07	(1369)	0.00015	(1146)
Toni_Braxton	7	(2341)	2	(10039)	2	(2510)	2	(5309)	36397.91	(5851)	0.00003	(7585)
Aalt_Toersen	0	(17814)	1	(14551)	0	(15653)	0	(20521)	0.00	(12790)	0.00001	(18297)
Paul_Lodewijkx	1	(11348)	0	(21675)	0	(15653)	0	(20521)	0.00	(12790)	0.00001	(13559)
Aaro_Vainio	0	(17814)	2	(10039)	0	(15653)	2	(5309)	0.00	(12790)	0.00001	(22371)
Felipe_Massa	7	(2341)	6	(2772)	4	(184)	3	(1096)	82538.84	(3563)	0.00008	(3066)
Jean_Todt	9	(1713)	2	(10039)	2	(2510)	2	(5309)	212076.31	(1702)	0.00007	(3622)
Aaron_Bell	0	(17814)	5	(3719)	0	(15653)	4	(279)	0.00	(12790)	0.00001	(18053)
Billie_Holiday	49	(76)	7	(2095)	3	(598)	4	(279)	502427.77	(669)	0.00026	(448)
Duke_Ellington	95	(11)	17	(305)	4	(184)	4	(279)	1887237.42	(101)	0.00061	(76)
Lester_Young	32	(191)	14	(508)	4	(184)	4	(279)	155413.82	(2206)	0.00022	(632)
Miles_Davis	92	(13)	27	(60)	4	(184)	4	(279)	1693459.87	(131)	0.00062	(73)
Sammy_Davis_jr	12	(1137)	0	(21675)	3	(598)	0	(20521)	0.00	(12790)	0.00018	(855)
Aaron_Burr	11	(1300)	2	(10039)	3	(598)	2	(5309)	45642.02	(5142)	0.00026	(442)
Alexander_Hamilton	12	(1137)	4	(5031)	3	(598)	3	(1096)	198293.98	(1805)	0.00028	(381)
Thomas_Jefferson	31	(206)	10	(1061)	3	(598)	3	(1096)	510250.89	(659)	0.00061	(79)
Aaron_Carter	2	(7764)	3	(7054)	2	(2510)	2	(5309)	25520.46	(6790)	0.00004	(6277)
