node	degree	degree_ranking	k	k_ranking	betweeness	betweeness_ranking	closeness	closeness_ranking	
Burma	3	145	3	145	1.03	110	0.4228187919	160
Cuba	21	70	19	70	8.90	76	0.5121951220	70
Iceland	17	75	16	75	12.66	69	0.5040000000	76
Cayman_Islands	1	171	1	171	0.00	141	0.4468085106	139
Chad	4	130	4	129	0.00	141	0.4305239180	155
Congo	4	130	4	129	4.15	89	0.4678217822	115
Fiji	1	171	1	171	0.00	141	0.4064516129	170
Nepal	6	112	6	108	3.15	93	0.4666666667	118
North_Korea	10	89	8	94	7.01	82	0.4426229508	148
Sudan	6	112	6	108	0.09	133	0.4415887850	152
Zambia	15	80	11	86	34.21	47	0.4986807388	79
Colombia	22	69	20	61	8.69	77	0.5220994475	61
Costa_Rica	9	94	9	90	0.14	128	0.4772727273	97
Côte_dIvoire	3	145	3	145	0.00	141	0.4632352941	123
Dominican_Republic	8	98	7	105	1.06	108	0.4609756098	126
Greenland	6	112	6	108	0.75	113	0.4237668161	158
Djibouti	2	156	2	155	0.00	141	0.4162995595	163
Puerto_Rico	6	112	6	108	1.79	106	0.4701492537	109
Iraq	10	89	8	94	19.42	61	0.4689826303	112
Tunisia	20	72	19	70	4.82	86	0.5026595745	77
El_Salvador	5	122	5	119	0.00	141	0.4587378641	130
Equatorial_Guinea	2	156	2	155	0.00	141	0.3937500000	181
Eritrea	2	156	2	155	0.00	141	0.4004237288	174
Ethiopia	8	98	8	94	0.03	140	0.4809160305	94
Tanzania	7	106	7	105	0.00	141	0.4760705290	99
Haiti	2	156	2	155	0.00	141	0.4576271186	135
Gabon	1	171	1	171	0.00	141	0.4021276596	173
Niger	3	145	3	145	1.58	107	0.3978947368	176
Grenada	1	171	1	171	0.00	141	0.3970588235	177
Guatemala	8	98	8	94	0.35	119	0.4701492537	109
Guinea	1	171	1	171	0.00	141	0.4468085106	139
Guinea-Bissau	1	171	1	171	0.00	141	0.3586337761	189
Trinidad_and_Tobago	3	145	2	155	0.50	116	0.4489311164	137
Guyana	2	156	2	155	0.00	141	0.4478672986	138
Honduras	8	98	8	94	0.69	114	0.4821428571	92
Hong_Kong	2	156	2	155	0.00	141	0.3669902913	188
Vietnam	17	75	14	78	48.53	42	0.5053475936	73
Uganda	5	122	5	119	0.09	134	0.4643734644	121
Oman	4	130	4	129	0.78	112	0.4055793991	172
Jamaica	5	122	5	119	0.00	141	0.4736842105	106
Kenya	6	112	6	108	0.00	141	0.4809160305	94
Kosovo	8	98	8	94	1.04	109	0.4821428571	92
Kyrgyzstan	7	106	7	105	0.22	126	0.4689826303	112
Laos	5	122	5	119	2.43	99	0.4655172414	120
Lesotho	1	171	1	171	0.00	141	0.4468085106	139
Liberia	1	171	1	171	0.00	141	0.4468085106	139
Madagascar	5	122	5	119	0.09	136	0.4748743719	100
Malawi	3	145	3	145	0.10	132	0.4209354120	161
Maldives	1	171	1	171	0.00	141	0.3727810651	184
Malta	26	58	25	1	2.66	96	0.5279329609	56
Marshall_Islands	1	171	1	171	0.00	141	0.3691406250	186
Mauritania	3	145	3	145	0.00	141	0.4256756757	157
Mauritius	4	130	4	129	0.09	135	0.4237668161	158
Micronesia	1	171	1	171	0.00	141	0.4468085106	139
Monaco	3	145	3	145	0.00	141	0.4082073434	169
Mozambique	6	112	6	108	0.07	138	0.4609756098	126
Namibia	8	98	8	94	0.53	115	0.4748743719	100
Palau	2	156	2	155	0.00	141	0.4598540146	128
Panama	5	122	5	119	0.00	141	0.4587378641	130
Uzbekistan	16	78	15	77	4.99	85	0.5053475936	73
Qatar	5	122	5	119	0.23	125	0.4426229508	148
Rwanda	3	145	3	145	0.00	141	0.4621026895	125
San_Marino	2	156	2	155	0.00	141	0.3684210526	187
São_Tomé_and_Príncipe	2	156	2	155	0.27	121	0.3896907216	183
Sierra_Leone	2	156	2	155	0.00	141	0.4587378641	130
Singapore	4	130	4	129	0.07	139	0.3937500000	181
Somalia	1	171	1	171	0.00	141	0.3970588235	177
Zimbabwe	4	130	4	129	0.00	141	0.4632352941	123
Sri_Lanka	2	156	2	155	0.00	141	0.4285714286	156
