Jacob_Obrecht	Josquin_Des_Prez
Maria_I_van_Schotland	Catharina_de'_Medici
Maria_I_van_Schotland	Hendrik_VII_van_Engeland
Maria_I_van_Schotland	Frans_II_van_Frankrijk
Maria_I_van_Schotland	Elizabeth_I_van_Engeland
Ken_Thompson	Dennis_Ritchie
Yitzchak_Rabin	Bill_Clinton
Yitzchak_Rabin	Nelson_Mandela
Yitzchak_Rabin	Menachem_Begin
Yitzchak_Rabin	Yasser_Arafat
Yitzchak_Rabin	Shimon_Peres
Yitzchak_Rabin	Hoessein_van_Jordanië
Yitzchak_Rabin	Golda_Meïr
Yitzchak_Rabin	Frederik_Willem_de_Klerk
Ambrosius_van_Milaan	Maarten_Luther
Ambrosius_van_Milaan	Theodosius_I
Agnetha_Fältskog	Björn_Ulvaeus
Jorge_Luis_Borges	Mario_Vargas_Llosa
Septimius_Severus	Septimius_Severus
Septimius_Severus	Caracalla
Lee_Harvey_Oswald	John_F._Kennedy
Lee_Harvey_Oswald	Oliver_Stone
Lee_Harvey_Oswald	Lyndon_B._Johnson
Lee_Harvey_Oswald	Jack_Ruby
Edmund_Burke	Maximilien_de_Robespierre
Marina_Tsvetajeva	Osip_Mandelstam
Marina_Tsvetajeva	Bernard_Haitink
Marina_Tsvetajeva	Dmitri_Sjostakovitsj
Marina_Tsvetajeva	Rainer_Maria_Rilke
Marina_Tsvetajeva	Vladimir_Nabokov
Hirohito	Ronald_Reagan
Victor_Franz_Hess	Carl_Anderson_(natuurkundige)
Victor_Franz_Hess	George_Paget_Thomson
Victor_Franz_Hess	Clinton_Davisson
Victor_Franz_Hess	James_Chadwick
Marcello_Caetano	António_de_Oliveira_Salazar
Mira_Sorvino	Woody_Allen
Władysław_Reymont	George_Bernard_Shaw
Władysław_Reymont	William_Butler_Yeats
Colin_Farrell	Tom_Cruise
Colin_Farrell	Bruce_Willis
Colin_Farrell	Al_Pacino
Colin_Farrell	Samuel_L._Jackson
Colin_Farrell	Ben_Affleck
The_Prodigy	Jay-Z
Anthony_Minghella	Sydney_Pollack
Anthony_Minghella	Samuel_Beckett
Anthony_Minghella	Jude_Law
Pablo_de_Sarasate	Max_Bruch
Pablo_de_Sarasate	Camille_Saint-Saëns
Wilhelm_Dilthey	Immanuel_Kant
Nostradamus	Catharina_de'_Medici
Nostradamus	Joseph_Goebbels
Stephen_Colbert	Steve_Carell
Stephen_Colbert	Bill_Clinton
Stephen_Colbert	Laura_Bush
Stephen_Colbert	George_W._Bush
Tabaré_Vázquez	José_Mujica
Tabaré_Vázquez	Luiz_Inácio_Lula_da_Silva
Thomas_Mann	Johann_Wolfgang_von_Goethe
Thomas_Mann	Heinrich_Mann
Thomas_Mann	Theodor_Adorno
Joe_DiMaggio	Ernest_Hemingway
Joe_DiMaggio	Marilyn_Monroe
Frederik_III_van_Duitsland	Otto_von_Bismarck
Frederik_III_van_Duitsland	Constantijn_I_van_Griekenland
Frederik_III_van_Duitsland	Victoria_van_het_Verenigd_Koninkrijk
Maksim_Gorki	Aleksandr_Solzjenitsyn
Maksim_Gorki	Vladimir_Lenin
Roman_Herzog	Johannes_Rau
Roman_Herzog	Václav_Havel
Roman_Herzog	Richard_von_Weizsäcker
Roman_Herzog	Helmut_Kohl
Lionel_Jospin	Jean-Pierre_Raffarin
Lionel_Jospin	Alain_Juppé
Lionel_Jospin	Jean-Marie_Le_Pen
Lionel_Jospin	François_Mitterrand
Donald_Sutherland	Jane_Fonda
Donald_Sutherland	Robert_Altman
Donald_Sutherland	Kiefer_Sutherland
Donald_Sutherland	Kate_Bush
Aristide_Briand	Gustav_Stresemann
Aristide_Briand	Austen_Chamberlain
Aristide_Briand	Charles_Dawes
Carlos_Slim	Bill_Gates
Zeno_van_Citium	Socrates
Heinrich_Himmler	Adolf_Eichmann
Heinrich_Himmler	Dwight_D._Eisenhower
Heinrich_Himmler	Hermann_Göring
Heinrich_Himmler	Reinhard_Heydrich
Heinrich_Himmler	Adolf_Hitler
Heinrich_Himmler	Karl_Dönitz
Heinrich_Himmler	Rudolf_Hess
Heinrich_Himmler	Albert_Speer
Virginia_Woolf	John_Maynard_Keynes
Virginia_Woolf	Nicole_Kidman
Michael_Pritchard	Billie_Joe_Armstrong
Pitbull_(rapper)	Flo_Rida
Pitbull_(rapper)	Usher
Pitbull_(rapper)	Lil'_Wayne
Pitbull_(rapper)	Marc_Anthony
Pitbull_(rapper)	Shakira
Catherine_Deneuve	Luis_Buñuel
Catherine_Deneuve	François_Ozon
Catherine_Deneuve	Marcello_Mastroianni
Catherine_Deneuve	Roman_Polański
Catherine_Deneuve	David_Bowie
Catherine_Deneuve	François_Truffaut
Catherine_Deneuve	Susan_Sarandon
Catherine_Deneuve	Lars_von_Trier
Lucrezia_Borgia	Titiaan
Lucrezia_Borgia	Cesare_Borgia
River_Phoenix	Kurt_Cobain
River_Phoenix	Christian_Slater
River_Phoenix	Johnny_Depp
River_Phoenix	Flea
River_Phoenix	Arthur_Rimbaud
River_Phoenix	Leonardo_DiCaprio
River_Phoenix	Keanu_Reeves
River_Phoenix	John_Frusciante
River_Phoenix	Red_Hot_Chili_Peppers
Zheng_Jie	Maria_Kirilenko
Zheng_Jie	Dinara_Safina
Zheng_Jie	Serena_Williams
Zheng_Jie	Jelena_Dementjeva
Zheng_Jie	Ana_Ivanović
Zheng_Jie	Samantha_Stosur
Dan_Brown	Audrey_Tautou
Dan_Brown	Ron_Howard
Dan_Brown	Tom_Hanks
Dan_Brown	Umberto_Eco
Mary_McAleese	Bertie_Ahern
Mary_McAleese	Mary_Robinson
Milla_Jovovich	Luc_Besson
Jacques_Derrida	Jacques_Lacan
Jacques_Derrida	Edmund_Husserl
Jacques_Derrida	Edmund_Husserl
Jacques_Derrida	Claude_Lévi-Strauss
Jacques_Derrida	Martin_Heidegger
Jacques_Derrida	Ferdinand_de_Saussure
Jacques_Derrida	Emmanuel_Levinas
Jacques_Derrida	Louis_Althusser
Jacques_Derrida	Georg_Wilhelm_Friedrich_Hegel
Jacques_Derrida	Jean-Jacques_Rousseau
Jacques_Derrida	Michel_Foucault
Charles_Babbage	Ada_Lovelace
Ray_Bradbury	John_Huston
Gwyneth_Paltrow	Jane_Austen
Gwyneth_Paltrow	Sylvia_Plath
Gwyneth_Paltrow	Cate_Blanchett
Gwyneth_Paltrow	Hilary_Swank
Gwyneth_Paltrow	Matt_Damon
Gwyneth_Paltrow	Helen_Hunt
Gwyneth_Paltrow	Brad_Pitt
Gwyneth_Paltrow	Ben_Affleck
Gwyneth_Paltrow	Philip_Seymour_Hoffman
Gwyneth_Paltrow	Jude_Law
Gwyneth_Paltrow	Steven_Spielberg
Josh_Hartnett	Tom_Cruise
Richard_Gere	Martin_Scorsese
Alfons_Mucha	Sarah_Bernhardt
Alfons_Mucha	Jeanne_d'Arc
Archimedes	Gotthold_Ephraim_Lessing
Archimedes	Eratosthenes
Archimedes	Plutarchus
Archimedes	René_Descartes
Edvard_Beneš	Tomáš_Masaryk
Edvard_Beneš	Reinhard_Heydrich
Emmanuel_Adebayor	Javier_Saviola
Emmanuel_Adebayor	Gareth_Barry
Emmanuel_Adebayor	Robin_van_Persie
Emmanuel_Adebayor	Carlos_Tévez
Michael_Haydn	Joseph_Haydn
Michael_Haydn	Carl_Maria_von_Weber
Craig_Bellamy	Graeme_Souness
Craig_Bellamy	Alan_Shearer
Nastassja_Kinski	Wim_Wenders
Nastassja_Kinski	Roman_Polański
Nastassja_Kinski	Jodie_Foster
Nastassja_Kinski	Demi_Moore
Ibrahim_Rugova	Slobodan_Milošević
Ibrahim_Rugova	Xanana_Gusmão
Bedřich_Smetana	William_Shakespeare
Bedřich_Smetana	Franz_Liszt
Bedřich_Smetana	Johann_Wolfgang_von_Goethe
Winston_Churchill	Franklin_Delano_Roosevelt
Winston_Churchill	Leon_Trotski
Winston_Churchill	Paul_von_Hindenburg
Winston_Churchill	John_Churchill
Winston_Churchill	Isambard_Kingdom_Brunel
Winston_Churchill	Neville_Chamberlain
Winston_Churchill	Mahatma_Gandhi
Winston_Churchill	Joachim_von_Ribbentrop
Winston_Churchill	Stanley_Baldwin
Winston_Churchill	Charles_Darwin
Winston_Churchill	Clement_Attlee
Winston_Churchill	Adolf_Hitler
Winston_Churchill	Ramsay_MacDonald
Winston_Churchill	Anthony_Eden
Winston_Churchill	Diana_Spencer
Michael_Gough	Tim_Burton
Michael_Gough	Christopher_Lee
Michael_Gough	Michael_Caine
George_Berkeley	Jonathan_Swift
George_Berkeley	Willem_III_van_Oranje
Théodore_Géricault	Jean_Auguste_Dominique_Ingres
Théodore_Géricault	Honoré_Daumier
Théodore_Géricault	Caspar_David_Friedrich
Théodore_Géricault	Peter_Paul_Rubens
Théodore_Géricault	Gustave_Courbet
Mika	David_Bowie
Leonard_Bernstein	Maria_Callas
Leonard_Bernstein	John_F._Kennedy
Leonard_Bernstein	Ludwig_van_Beethoven
Leonard_Bernstein	Olivier_Messiaen
Leonard_Bernstein	Voltaire
Leonard_Bernstein	Luigi_Cherubini
Leonard_Bernstein	Gustav_Mahler
Leonard_Bernstein	James_Barrie
Leonard_Bernstein	Elia_Kazan
Tarja_Turunen	Jean_Sibelius
Bono_(zanger)	Rihanna
Bono_(zanger)	Alicia_Keys
Bono_(zanger)	Kate_Bush
Bono_(zanger)	Jay-Z
Bono_(zanger)	Snoop_Dogg
Bono_(zanger)	Peter_Gabriel
Bono_(zanger)	Elton_John
Bono_(zanger)	George_W._Bush
Bono_(zanger)	Elvis_Presley
Emmanuel_Eboué	Bacary_Sagna
Edmond_H._Fischer	Edwin_Gerhard_Krebs
Edmond_H._Fischer	Edwin_Gerhard_Krebs
Krzysztof_Kieślowski	Andrzej_Wajda
Krzysztof_Kieślowski	Roman_Polański
Marcel_Proust	André_Gide
Kim_Campbell	Brian_Mulroney
Nicolaas_II_van_Rusland	Grigori_Raspoetin
Nicolaas_II_van_Rusland	Alexander_III_van_Rusland
Nicolaas_II_van_Rusland	George_I_van_Griekenland
Nicolaas_II_van_Rusland	Frederik_VIII_van_Denemarken
Joseph_John_Thomson	John_William_Strutt
Joseph_John_Thomson	Philipp_Eduard_Anton_Lenard
Joseph_John_Thomson	Ernest_Rutherford
Joseph_John_Thomson	George_Paget_Thomson
Joseph_John_Thomson	James_Clerk_Maxwell
Joseph_John_Thomson	Albert_Michelson
John_Denver	Frank_Zappa
John_Denver	Julie_Andrews
Cordell_Hull	Franklin_Delano_Roosevelt
Ségolène_Royal	Dominique_Strauss-Kahn
Ségolène_Royal	Pierre_Bérégovoy
Ségolène_Royal	Jean-Pierre_Raffarin
Ségolène_Royal	Nicolas_Sarkozy
Ségolène_Royal	Laurent_Fabius
Tim_Kaine	Barack_Obama
Tim_Kaine	Joe_Biden
John_Woo	Jackie_Chan
John_Woo	Quentin_Tarantino
Empedocles	Friedrich_Hölderlin
Empedocles	Anaxagoras
Empedocles	Aristoteles
Empedocles	Democritus
Empedocles	Heraclitus
Empedocles	Friedrich_Nietzsche
Empedocles	Plato
Marcus_Aurelius	Marguerite_Yourcenar
Marcus_Aurelius	Antoninus_Pius
Marcus_Aurelius	Hadrianus
Robert_I_van_Schotland	William_Wallace
Irène_Joliot-Curie	Marie_Curie
Irène_Joliot-Curie	Peter_Debye
Irène_Joliot-Curie	Frédéric_Joliot-Curie
William_Turner	Claude_Monet
William_Turner	Johann_Wolfgang_von_Goethe
William_Turner	Titiaan
William_Turner	Camille_Pissarro
Peter_Crouch	Fabio_Capello
Peter_Crouch	Michael_Owen
Peter_Crouch	Gareth_Barry
Peter_Crouch	Emile_Heskey
Peter_Crouch	Sven-Göran_Eriksson
Bertha_von_Suttner	Theodore_Roosevelt
Ismail_Kadare	Enver_Hoxha
Ismail_Kadare	Homerus
Bülent_Ecevit	Recep_Tayyip_Erdoğan
Bülent_Ecevit	Abdullah_Gül
Paus_Clemens_VIII	Giordano_Bruno
Paus_Clemens_VIII	Hendrik_IV_van_Frankrijk
Slipknot_(band)	Lars_Ulrich
Anatoli_Karpov	Veselin_Topalov
Anatoli_Karpov	Vladimir_Kramnik
Anatoli_Karpov	Viswanathan_Anand
Anatoli_Karpov	Bobby_Fischer
Anatoli_Karpov	Garri_Kasparov
Alicia_Keys	Barbra_Streisand
Alicia_Keys	Dakota_Fanning
Alicia_Keys	John_Mayer
Alicia_Keys	Usher
Alicia_Keys	Tupac_Shakur
Alicia_Keys	Prince
Alicia_Keys	Stevie_Wonder
Alicia_Keys	Halle_Berry
Alicia_Keys	Jay-Z
Alicia_Keys	Marvin_Gaye
Alicia_Keys	Nina_Simone
Alicia_Keys	Ben_Affleck
Alicia_Keys	Oprah_Winfrey
Alicia_Keys	Scarlett_Johansson
Holly_Hunter	Jessica_Lange
Holly_Hunter	Frances_McDormand
Holly_Hunter	Emma_Thompson
Sofia_Goebaidoelina	Rainer_Maria_Rilke
Sofia_Goebaidoelina	Dmitri_Sjostakovitsj
Sofia_Goebaidoelina	Hildegard_van_Bingen
Sofia_Goebaidoelina	Marina_Tsvetajeva
Beyoncé	Justin_Timberlake
Beyoncé	Janet_Jackson
Beyoncé	Alicia_Keys
Beyoncé	Aretha_Franklin
Beyoncé	Jamie_Foxx
Beyoncé	Lady_Gaga
Beyoncé	Tina_Turner
Beyoncé	Jennifer_Hudson
Beyoncé	Whitney_Houston
Beyoncé	Prince
Beyoncé	50_Cent
Beyoncé	Jay-Z
Beyoncé	Shakira
David_Livingstone	Henry_Morton_Stanley
Hans_Werner_Henze	Giovanni_Paisiello
Hans_Werner_Henze	Hans_Christian_Andersen
Hans_Werner_Henze	Miguel_de_Cervantes
Hans_Werner_Henze	William_Shakespeare
Hans_Werner_Henze	Honoré_de_Balzac
Hans_Werner_Henze	Percy_Bysshe_Shelley
Hans_Werner_Henze	Heinrich_von_Kleist
Hans_Werner_Henze	W.H._Auden
