Jacob_Obrecht	Josquin_Des_Prez
Hans_Werner_Henze	Franz_Kafka
Hans_Werner_Henze	Thomas_Mann
Michelle_Bachelet	Sebastián_Piñera
Michelle_Bachelet	Ricardo_Lagos
Jeff_Beck	Stevie_Wonder
Jeff_Beck	Eric_Clapton
Jeff_Beck	Jimmy_Page
Jeff_Beck	B.B._King
Carla_Bruni	Kevin_Costner
Carla_Bruni	Nicolas_Sarkozy
Carla_Bruni	Eric_Clapton
Carla_Bruni	Donald_Trump
Carla_Bruni	Michelle_Obama
Carla_Bruni	Joni_Mitchell
Carla_Bruni	Mick_Jagger
Elano	Dunga
Elano	Robinho
Bryan_Adams	Barbra_Streisand
Bryan_Adams	Bruce_Springsteen
Bryan_Adams	Hans_Zimmer
Bryan_Adams	Tina_Turner
Bryan_Adams	Nelly_Furtado
Filips_II_van_Spanje	Hendrik_VIII_van_Engeland
Filips_II_van_Spanje	Hendrik_II_van_Frankrijk
Filips_II_van_Spanje	Catharina_de'_Medici
Filips_II_van_Spanje	Elizabeth_I_van_Engeland
Filips_II_van_Spanje	Maximiliaan_II_van_het_Heilige_Roomse_Rijk
Filips_II_van_Spanje	Johan_III_van_Portugal
Filips_II_van_Spanje	Hendrik_III_van_Frankrijk
Usain_Bolt	Asafa_Powell
Lucas_Cranach_de_Oude	Maarten_Luther
Lucas_Cranach_de_Oude	Philipp_Melanchthon
Lech_Kaczyński	Aleksander_Kwaśniewski
Richard_Burton_(acteur)	Olivia_de_Havilland
Richard_Burton_(acteur)	Edward_Albee
Richard_Burton_(acteur)	Elizabeth_Taylor
Richard_Burton_(acteur)	Herbert_George_Wells
Caracalla	Alexander_III_de_Grote
Caracalla	Marcus_Aurelius
Caracalla	Septimius_Severus
Caracalla	Geta_(keizer)
Telly_Savalas	Paul_Newman
Eduard_de_Oudere	Otto_I_de_Grote
Eduard_de_Oudere	Alfred_de_Grote
Roger_Federer	Kim_Clijsters
Roger_Federer	Jürgen_Melzer
Roger_Federer	Serena_Williams
Roger_Federer	Michael_Jordan
Roger_Federer	Andre_Agassi
Roger_Federer	David_Ferrer
Roger_Federer	Guillermo_Cañas
Roger_Federer	Novak_Đoković
Roger_Federer	Rafael_Nadal
Roger_Federer	Robin_Söderling
Roger_Federer	Lleyton_Hewitt
Roger_Federer	Ernests_Gulbis
Roger_Federer	Tiger_Woods
Roger_Federer	Boris_Becker
Roger_Federer	Michail_Joezjny
Roger_Federer	Andy_Murray
Roger_Federer	Steffi_Graf
Roger_Federer	Fernando_González
Roger_Federer	Marat_Safin
Roger_Federer	Björn_Borg
Roger_Federer	Jacques_Rogge
Roger_Federer	Tommy_Haas
Roger_Federer	Pete_Sampras
Roger_Federer	Juan_Martín_del_Potro
Roger_Federer	Jo-Wilfried_Tsonga
Roger_Federer	David_Nalbandian
Roger_Federer	Andy_Roddick
A.A._Milne	Herbert_George_Wells
Jean-Claude_Van_Damme	Jennifer_Aniston
Jean-Claude_Van_Damme	Sylvester_Stallone
Orlando_di_Lasso	William_Shakespeare
Orlando_di_Lasso	Francesco_Petrarca
Diego_Maradona	Pelé
Diego_Maradona	Juan_Román_Riquelme
Karel_V_van_Frankrijk	Aristoteles
Fahd_bin_Abdoel_Aziz_al-Saoed	Abdoellah_bin_Abdoel_Aziz_al-Saoed
Fahd_bin_Abdoel_Aziz_al-Saoed	Saddam_Hoessein
Fahd_bin_Abdoel_Aziz_al-Saoed	Osama_bin_Laden
Evangeline_Lilly	Dominic_Monaghan
Guy_Verhofstadt	Jacques_Chirac
Guy_Verhofstadt	Yasser_Arafat
Guy_Verhofstadt	Gerhard_Schröder
Guy_Verhofstadt	Boudewijn_I_van_België
Guy_Verhofstadt	Tony_Blair
Guy_Verhofstadt	Yves_Leterme
Guy_Verhofstadt	José_Manuel_Barroso
Guy_Verhofstadt	Ruhollah_Khomeini
Gian_Lorenzo_Bernini	Paus_Alexander_VII
Gian_Lorenzo_Bernini	Donatello
Gian_Lorenzo_Bernini	Johannes_Chrysostomus
Gian_Lorenzo_Bernini	Lodewijk_XIV_van_Frankrijk
Gian_Lorenzo_Bernini	Paus_Urbanus_VIII
Gian_Lorenzo_Bernini	Caligula
Antoine_Laurent_de_Jussieu	Georges_Cuvier
Sharon_Stone	Arnold_Schwarzenegger
Sharon_Stone	Michael_Douglas
Sharon_Stone	Woody_Allen
Sharon_Stone	Halle_Berry
Sharon_Stone	Sylvester_Stallone
Sharon_Stone	Martin_Scorsese
Christiaan_IX_van_Denemarken	Alexander_III_van_Rusland
Christiaan_IX_van_Denemarken	Frederik_V_van_Denemarken
Christiaan_IX_van_Denemarken	Eduard_VII_van_het_Verenigd_Koninkrijk
Jane_Fonda	Bob_Hope
Jane_Fonda	Robert_Redford
Jane_Fonda	Ted_Turner
Jane_Fonda	Diane_Keaton
Jane_Fonda	Donald_Sutherland
Jane_Fonda	Henry_Fonda
Jane_Fonda	Liza_Minnelli
John_Maxwell_Coetzee	Nadine_Gordimer
Georg_Ohm	Alessandro_Volta
Georg_Ohm	Joseph_Fourier
Marlene_Dietrich	John_F._Kennedy
Marlene_Dietrich	Noël_Coward
Marlene_Dietrich	Claudette_Colbert
Marlene_Dietrich	Mae_West
Marlene_Dietrich	Ernest_Hemingway
Yaya_Touré	Kolo_Touré
Thomas_Jackson	Robert_E._Lee
Jimmy_Wales	Ayn_Rand
Jimmy_Wales	Larry_Sanger
Stan_Winston	James_Cameron
Semjon_Timosjenko	Leon_Trotski
Semjon_Timosjenko	Jozef_Stalin
Paul_Sabatier	Victor_Grignard
Paus_Paulus_III	Johannes_Calvijn
Paus_Paulus_III	Maarten_Luther
Paus_Paulus_III	Frans_I_van_Frankrijk
Paus_Paulus_III	Paus_Leo_X
Paus_Paulus_III	Catharina_van_Aragon
Paus_Paulus_III	Peter_O'Toole
Paus_Paulus_III	Ignatius_van_Loyola
Syd_Barrett	Bob_Geldof
Syd_Barrett	David_Bowie
Syd_Barrett	Jimmy_Page
Syd_Barrett	Brian_Eno
Syd_Barrett	David_Gilmour
Miley_Cyrus	Tim_Burton
Miley_Cyrus	Dolly_Parton
Miley_Cyrus	Emily_Osment
Miley_Cyrus	Taylor_Swift
Miley_Cyrus	Katy_Perry
Miley_Cyrus	John_Travolta
Zachary_Taylor_(politicus)	William_Henry_Harrison
Zachary_Taylor_(politicus)	James_K._Polk
Zachary_Taylor_(politicus)	Millard_Fillmore
Zachary_Taylor_(politicus)	James_Garfield
Boris_Tadić	Zoran_Đinđić
Boris_Tadić	Vojislav_Koštunica
Boris_Tadić	Slobodan_Milošević
Aribert_Heim	Hannah_Arendt
Aribert_Heim	Simon_Wiesenthal
Carlos_Sastre	Fränk_Schleck
Carlos_Sastre	Alberto_Contador
Carlos_Sastre	Floyd_Landis
Carlos_Sastre	Cadel_Evans
Carlos_Sastre	Kim_Kirchen
Patrick_White	Heinrich_Böll
Alexander_von_Humboldt	Charles_Darwin
Alexander_von_Humboldt	Frederik_II_van_Pruisen
Maria_II_van_Engeland	Jacobus_II_van_Engeland
Maria_II_van_Engeland	John_Churchill
Maria_II_van_Engeland	Henry_Purcell
Denis_Diderot	Baruch_Spinoza
Denis_Diderot	Jean-Jacques_Rousseau
Denis_Diderot	Voltaire
Denis_Diderot	Alexander_Pope
Denis_Diderot	Madame_de_Pompadour
Denis_Diderot	René_Descartes
Denis_Diderot	Jean-Paul_Sartre
Benito_Juárez	Napoleon_III
Benito_Juárez	Giuseppe_Garibaldi
Benito_Juárez	Abraham_Lincoln
Benito_Juárez	Benito_Mussolini
Benito_Juárez	Porfirio_Díaz
Benito_Juárez	Victor_Hugo
Benito_Juárez	Antonio_López_de_Santa_Anna
Cosimo_de'_Medici_de_Oude	Filippo_Brunelleschi
Cosimo_de'_Medici_de_Oude	Donatello
Alexander_III_de_Grote	Philippos_II_van_Macedonië
Alexander_III_de_Grote	Dzjengis_Khan
Alexander_III_de_Grote	Homerus
Alexander_III_de_Grote	Julius_Caesar
Alexander_III_de_Grote	Christopher_Plummer
Alexander_III_de_Grote	Attila_de_Hun
Alexander_III_de_Grote	Pompeius
Alexander_III_de_Grote	Jared_Leto
Alexander_III_de_Grote	Val_Kilmer
Alexander_III_de_Grote	Anthony_Hopkins
Alexander_III_de_Grote	Caligula
Alexander_III_de_Grote	Colin_Farrell
Alexander_III_de_Grote	Aristoteles
Alexander_III_de_Grote	Xerxes_I
Alexander_III_de_Grote	Oliver_Stone
Alexander_III_de_Grote	Angelina_Jolie
Alexander_III_de_Grote	Plutarchus
Berti_Vogts	Johan_Cruijff
Berti_Vogts	Franz_Beckenbauer
Al_Gore	Bill_Clinton
Al_Gore	Dan_Quayle
Al_Gore	Ralph_Nader
Al_Gore	George_H.W._Bush
Al_Gore	Martti_Ahtisaari
Al_Gore	Snoop_Dogg
Al_Gore	Muhammad_Yunus
Al_Gore	Red_Hot_Chili_Peppers
Al_Gore	Dick_Cheney
Al_Gore	George_W._Bush
Jacques-René_Hébert	Maximilien_de_Robespierre
Jacques-René_Hébert	Georges_Danton
Peter_Jackson	J.R.R._Tolkien
Mohamed_Sissoko	Rafael_Benítez
Alexis_de_Tocqueville	François_Guizot
Hans-Ulrich_Rudel	Juan_Perón
Hans-Ulrich_Rudel	Alfredo_Stroessner
Donatello	Maria_Magdalena
Napoleon_Bonaparte	Joachim_Murat
Napoleon_Bonaparte	Karel_de_Grote
Napoleon_Bonaparte	Horatio_Nelson
Napoleon_Bonaparte	Adolf_Hitler
Napoleon_Bonaparte	Francisco_Goya
Napoleon_Bonaparte	Marie_Louise_van_Oostenrijk
Napoleon_Bonaparte	Jacques-Louis_David
Napoleon_Bonaparte	Joséphine_de_Beauharnais
Napoleon_Bonaparte	Heinrich_Heine
Napoleon_Bonaparte	Lodewijk_XIV_van_Frankrijk
John_Connally	John_F._Kennedy
John_Connally	Lyndon_B._Johnson
John_Connally	Richard_Nixon
John_Connally	Saddam_Hoessein
Heinrich_von_Kleist	Voltaire
Heinrich_von_Kleist	Immanuel_Kant
Heinrich_von_Kleist	Thomas_Mann
James_Blunt	Elizabeth_Bowes-Lyon
James_Blunt	Laura_Pausini
James_Blunt	"Weird_Al"_Yankovic
Golda_Meïr	Yitzchak_Rabin
Golda_Meïr	Hoessein_van_Jordanië
Golda_Meïr	Indira_Gandhi
Golda_Meïr	Moshe_Dayan
Danny_Glover	Nelson_Mandela
John_Steinbeck	Bruce_Springsteen
John_Steinbeck	Lyndon_B._Johnson
Claude_Makélélé	Zinédine_Zidane
Andrew_Jackson	John_Quincy_Adams
Andrew_Jackson	Martin_Van_Buren
Daniela_Hantuchová	Kim_Clijsters
Daniela_Hantuchová	Martina_Navrátilová
Daniela_Hantuchová	Venus_Williams
Daniela_Hantuchová	Guillermo_Coria
Daniela_Hantuchová	Anna_Koernikova
Daniela_Hantuchová	Serena_Williams
Daniela_Hantuchová	Maria_Sjarapova
Daniela_Hantuchová	Patty_Schnyder
Daniela_Hantuchová	Jelena_Dementjeva
Daniela_Hantuchová	Svetlana_Koeznetsova
Daniela_Hantuchová	Nadja_Petrova
Daniela_Hantuchová	Justine_Henin
Daniela_Hantuchová	Ana_Ivanović
Daniela_Hantuchová	Samantha_Stosur
Piet_Mondriaan	Caspar_David_Friedrich
Piet_Mondriaan	Helena_Blavatsky
Royston_Drenthe	Ronaldinho
Royston_Drenthe	José_Mourinho
Royston_Drenthe	Wesley_Sneijder
Royston_Drenthe	David_Beckham
Royston_Drenthe	Ryan_Babel
Royston_Drenthe	Robinho
David_Cameron	Gordon_Brown
David_Cameron	Nick_Clegg
David_Cameron	John_Major
François_Quesnay	Lodewijk_XV_van_Frankrijk
François_Quesnay	Adam_Smith
François_Quesnay	Karl_Marx
George_Cukor	Greta_Garbo
George_Cukor	Claudette_Colbert
George_Cukor	Ingrid_Bergman
George_Cukor	Vivien_Leigh
George_Cukor	Olivia_de_Havilland
George_Cukor	Joan_Crawford
George_Cukor	Katharine_Hepburn
Aaron_Lennon	Fabio_Capello
Aaron_Lennon	Sven-Göran_Eriksson
Aaron_Lennon	Cesc_Fàbregas
Aaron_Lennon	Cristiano_Ronaldo
Franz_von_Papen	Joseph_Goebbels
Franz_von_Papen	Paus_Johannes_XXIII
Franz_von_Papen	Kurt_von_Schleicher
Franz_von_Papen	Paul_von_Hindenburg
Franz_von_Papen	Adolf_Hitler
Jürgen_Klinsmann	Diego_Maradona
Martin_Van_Buren	John_Quincy_Adams
Martin_Van_Buren	William_Henry_Harrison
Martin_Van_Buren	John_Tyler
Martin_Van_Buren	Alexander_Hamilton
Martin_Van_Buren	James_K._Polk
Martin_Van_Buren	Andrew_Jackson
Habib_Bourguiba	Zine_El_Abidine_Ben_Ali
Habib_Bourguiba	Mustafa_Kemal_Atatürk
François_Bayrou	Nicolas_Sarkozy
François_Bayrou	Alain_Juppé
François_Bayrou	Édouard_Balladur
Donovan_Bailey	Michael_Johnson
Arnold_Schönberg	Paul_Heyse
Arnold_Schönberg	Georg_Friedrich_Händel
Arnold_Schönberg	Rabindranath_Tagore
Arnold_Schönberg	Johannes_Brahms
Arnold_Schönberg	Friedrich_Nietzsche
Arnold_Schönberg	Wassily_Kandinsky
Arnold_Schönberg	George_Gershwin
Arnold_Schönberg	Anton_Webern
Arnold_Schönberg	Rainer_Maria_Rilke
Arnold_Schönberg	Richard_Strauss
Arnold_Schönberg	John_Cage
Arnold_Schönberg	Oskar_Kokoschka
Arnold_Schönberg	Francesco_Petrarca
Arnold_Schönberg	Thomas_Mann
Arnold_Schönberg	Alban_Berg
Arnold_Schönberg	Gustav_Mahler
Bernard_Montgomery	George_Patton
Bernard_Montgomery	Benito_Mussolini
Bernard_Montgomery	Dwight_D._Eisenhower
Bernard_Montgomery	Erwin_Rommel
Bernard_Montgomery	Omar_Bradley
Chester_Nimitz	Karl_Dönitz
Aleksandr_Poesjkin	Nikolaj_Rimski-Korsakov
Aleksandr_Poesjkin	Pjotr_Iljitsj_Tsjaikovski
